subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
20 regular 1 1 1 71 3 0.417 faster 1 3.387067e+06 3.387071e+06 3.711
20 regular 1 2 2 71 3 0.451 faster 1 3.387072e+06 3.387076e+06 3.714
20 regular 1 3 3 69 3 0.560 slower 0 3.387077e+06 3.387081e+06 3.664
20 regular 1 4 4 49 3 0.376 slower 1 3.387082e+06 3.387086e+06 3.947
20 regular 1 5 5 49 3 0.546 faster 0 3.387087e+06 3.387091e+06 3.790
20 regular 1 6 6 73 3 0.577 faster 1 3.387092e+06 3.387096e+06 3.792
20 regular 1 7 7 71 3 0.158 faster 1 3.387103e+06 3.387107e+06 4.559
20 regular 1 8 8 49 3 0.466 slower 1 3.387108e+06 3.387112e+06 3.917
20 regular 1 9 9 51 3 0.503 slower 1 3.387114e+06 3.387118e+06 4.106
20 regular 1 10 10 51 3 0.207 faster 0 3.387119e+06 3.387122e+06 3.901
20 regular 1 11 11 71 3 0.144 faster 1 3.387124e+06 3.387128e+06 4.286
20 regular 1 12 12 51 3 0.320 slower 1 3.387129e+06 3.387133e+06 3.745
20 regular 1 13 13 51 3 0.203 slower 1 3.387133e+06 3.387137e+06 4.011
20 regular 1 14 14 68 3 0.209 faster 1 3.387139e+06 3.387143e+06 3.829
20 regular 1 15 15 68 3 0.271 slower 0 3.387144e+06 3.387148e+06 3.738
20 regular 1 16 16 51 3 0.266 slower 1 3.387158e+06 3.387162e+06 4.007
20 regular 1 17 17 52 3 0.412 faster 0 3.387163e+06 3.387167e+06 3.743
20 regular 1 18 18 51 3 0.496 faster 0 3.387168e+06 3.387172e+06 3.629
20 regular 1 19 19 70 3 0.476 slower 0 3.387173e+06 3.387176e+06 3.540
20 regular 1 20 20 71 3 0.487 faster 1 3.387181e+06 3.387185e+06 3.923
20 regular 1 21 21 71 3 0.214 faster 1 3.387185e+06 3.387189e+06 3.761
20 regular 1 22 22 70 3 0.292 faster 1 3.387219e+06 3.387223e+06 3.749
20 regular 1 23 23 50 3 0.363 faster 0 3.387224e+06 3.387228e+06 3.796
20 regular 1 24 24 71 3 0.577 faster 1 3.387229e+06 3.387232e+06 3.755
20 regular 1 25 25 70 3 0.472 slower 0 3.387234e+06 3.387238e+06 4.368
20 regular 1 26 26 49 3 0.579 faster 0 3.387239e+06 3.387243e+06 3.870
20 regular 1 27 27 48 3 0.569 faster 0 3.387244e+06 3.387248e+06 3.615
20 regular 1 28 28 47 3 0.401 faster 0 3.387253e+06 3.387257e+06 3.673
20 regular 1 29 29 74 3 0.440 faster 1 3.387268e+06 3.387272e+06 3.591
20 regular 1 30 30 46 3 0.569 faster 0 3.387273e+06 3.387276e+06 3.548
20 regular 1 31 31 45 3 0.248 faster 0 3.387299e+06 3.387303e+06 3.723
20 regular 1 32 32 44 3 0.247 faster 0 3.387306e+06 3.387309e+06 3.609
20 regular 1 33 33 77 3 0.166 faster 1 3.387311e+06 3.387314e+06 3.525
20 regular 1 34 34 76 3 0.118 faster 1 3.387316e+06 3.387320e+06 3.655
20 regular 1 35 35 44 3 0.271 faster 0 3.387337e+06 3.387341e+06 3.632
20 regular 1 36 36 43 3 0.570 slower 1 3.387342e+06 3.387346e+06 3.745
20 regular 1 37 37 76 3 0.445 faster 1 3.387348e+06 3.387351e+06 3.590
20 regular 1 38 38 44 3 0.258 faster 0 3.387387e+06 3.387391e+06 3.666
20 regular 1 39 39 43 3 0.336 faster 0 3.387392e+06 3.387395e+06 3.540
20 regular 1 40 40 78 3 0.448 faster 1 3.387396e+06 3.387400e+06 3.505
20 regular 1 41 41 43 3 0.302 slower 1 3.387401e+06 3.387404e+06 3.599
20 regular 1 42 42 43 3 0.211 faster 0 3.387405e+06 3.387409e+06 3.633
20 regular 1 43 43 42 3 0.521 slower 1 3.387411e+06 3.387415e+06 3.691
20 regular 1 44 44 43 3 0.559 faster 0 3.387435e+06 3.387439e+06 3.687
20 regular 1 45 45 42 3 0.488 faster 0 3.387440e+06 3.387446e+06 5.212
20 regular 1 46 46 79 3 0.207 faster 1 3.387446e+06 3.387450e+06 3.780
20 regular 1 47 47 79 3 0.381 faster 1 3.387451e+06 3.387455e+06 3.712
20 regular 1 48 48 42 3 0.498 faster 0 3.387456e+06 3.387460e+06 4.094
20 regular 1 49 49 79 3 0.272 faster 1 3.387461e+06 3.387465e+06 3.899
20 regular 1 50 50 41 3 0.253 slower 1 3.387476e+06 3.387479e+06 3.732
20 regular 1 51 51 78 3 0.228 faster 1 3.387488e+06 3.387491e+06 3.655
20 regular 1 52 52 78 3 0.210 faster 1 3.387496e+06 3.387500e+06 3.681
20 regular 1 53 53 43 3 0.331 none 2 3.387501e+06 3.387507e+06 5.999
20 regular 1 54 54 43 3 0.268 faster 0 3.387507e+06 3.387512e+06 4.015
20 regular 1 55 55 78 3 0.573 faster 1 3.387513e+06 3.387517e+06 4.076
20 regular 1 56 56 42 3 0.207 slower 1 3.387518e+06 3.387521e+06 3.652
20 regular 1 57 57 43 3 0.460 faster 0 3.387523e+06 3.387527e+06 3.867
20 regular 1 58 58 42 3 0.476 slower 1 3.387528e+06 3.387531e+06 3.630
20 regular 1 59 59 78 3 0.378 faster 1 3.387533e+06 3.387536e+06 3.558
20 regular 1 60 60 77 3 0.299 faster 1 3.387538e+06 3.387541e+06 3.916
20 regular 1 61 61 43 3 0.165 faster 0 3.387545e+06 3.387549e+06 3.712
20 regular 1 62 62 42 3 0.203 faster 0 3.387556e+06 3.387560e+06 3.799
20 regular 1 63 63 41 3 0.476 faster 0 3.387561e+06 3.387565e+06 3.749
20 regular 1 64 64 80 3 0.452 faster 1 3.387566e+06 3.387569e+06 3.769
20 regular 1 65 65 79 3 0.175 slower 0 3.387570e+06 3.387575e+06 4.498
20 regular 1 66 66 80 3 0.329 faster 1 3.387593e+06 3.387597e+06 3.616
20 regular 1 67 67 80 3 0.439 faster 1 3.387598e+06 3.387602e+06 3.448
20 regular 1 68 68 79 3 0.310 faster 1 3.387603e+06 3.387606e+06 3.563
20 regular 1 69 69 79 3 0.328 faster 1 3.387607e+06 3.387611e+06 3.511
20 regular 1 70 70 78 3 0.369 slower 0 3.387612e+06 3.387616e+06 3.914
20 regular 1 71 71 79 3 0.427 faster 1 3.387618e+06 3.387621e+06 3.722
20 regular 1 72 72 41 3 0.280 slower 1 3.387625e+06 3.387629e+06 3.780
20 regular 1 73 73 42 3 0.322 slower 1 3.387631e+06 3.387634e+06 3.696
20 regular 1 74 74 42 3 0.488 slower 1 3.387636e+06 3.387640e+06 4.098
20 regular 1 75 75 43 3 0.264 slower 1 3.387641e+06 3.387644e+06 3.811
20 regular 1 76 76 43 3 0.115 slower 1 3.387645e+06 3.387649e+06 3.788
20 regular 1 77 77 76 3 0.353 faster 1 3.387653e+06 3.387657e+06 3.714
20 regular 1 78 78 44 3 0.582 slower 1 3.387659e+06 3.387663e+06 3.884
20 regular 1 79 79 75 3 0.365 faster 1 3.387664e+06 3.387667e+06 3.553
20 regular 1 80 80 45 3 0.544 faster 0 3.387669e+06 3.387672e+06 3.341
20 regular 1 81 81 76 3 0.216 faster 1 3.387673e+06 3.387679e+06 5.686
20 regular 1 82 82 75 3 0.568 faster 1 3.387680e+06 3.387684e+06 3.658
20 regular 1 83 83 75 3 0.157 faster 1 3.387685e+06 3.387688e+06 3.721
20 regular 1 84 84 46 3 0.217 faster 0 3.387689e+06 3.387693e+06 3.907
20 regular 1 85 85 75 3 0.241 faster 1 3.387695e+06 3.387699e+06 3.802
20 regular 1 86 86 75 3 0.366 faster 1 3.387700e+06 3.387704e+06 3.579
20 regular 1 87 87 74 3 0.498 faster 1 3.387705e+06 3.387709e+06 3.725
20 regular 1 88 88 46 3 0.556 slower 1 3.387711e+06 3.387714e+06 3.643
20 regular 1 89 89 47 3 0.598 faster 0 3.387716e+06 3.387720e+06 3.528
20 regular 1 90 90 74 3 0.167 faster 1 3.387730e+06 3.387733e+06 3.588
20 regular 1 91 91 46 3 0.529 faster 0 3.387735e+06 3.387739e+06 3.828
20 regular 1 92 92 75 3 0.124 faster 1 3.387741e+06 3.387745e+06 4.000
20 regular 1 93 93 74 3 0.150 faster 1 3.387747e+06 3.387751e+06 3.516
20 regular 1 94 94 74 3 0.324 faster 1 3.387755e+06 3.387759e+06 3.646
20 regular 1 95 95 47 3 0.576 faster 0 3.387764e+06 3.387768e+06 3.660
20 regular 1 96 96 74 3 0.525 faster 1 3.387801e+06 3.387804e+06 3.812
20 regular 1 97 97 74 3 0.274 faster 1 3.387805e+06 3.387809e+06 3.749
20 regular 1 98 98 47 3 0.278 slower 1 3.387810e+06 3.387814e+06 3.655
20 regular 1 99 99 47 3 0.292 slower 1 3.387814e+06 3.387818e+06 3.837
20 regular 1 100 100 72 3 0.358 faster 1 3.387819e+06 3.387823e+06 3.826
20 irregular 2 1 101 48 2.500000e+00 0.152 faster 0 3.388585e+06 3.388588e+06 3.115
20 irregular 2 2 102 47 1 0.122 faster 0 3.388589e+06 3.388591e+06 1.710
20 irregular 2 3 103 74 3 0.188 faster 1 3.388592e+06 3.388595e+06 3.609
20 irregular 2 4 104 47 1.500000e+00 0.287 faster 0 3.388597e+06 3.388599e+06 2.125
20 irregular 2 5 105 46 2 0.240 slower 1 3.388600e+06 3.388603e+06 2.765
20 irregular 2 6 106 74 2.500000e+00 0.485 faster 1 3.388605e+06 3.388608e+06 3.152
20 irregular 2 7 107 73 2 0.504 faster 1 3.388610e+06 3.388613e+06 2.683
20 irregular 2 8 108 73 1.500000e+00 0.579 faster 1 3.388614e+06 3.388616e+06 2.157
20 irregular 2 9 109 48 1.500000e+00 0.324 slower 1 3.388618e+06 3.388620e+06 2.371
20 irregular 2 10 110 48 1 0.393 slower 1 3.388621e+06 3.388623e+06 1.683
20 irregular 2 11 111 49 1 0.284 slower 1 3.388625e+06 3.388626e+06 1.785
20 irregular 2 12 112 71 2 0.488 faster 1 3.388628e+06 3.388631e+06 2.649
20 irregular 2 13 113 70 2.500000e+00 0.352 faster 1 3.388632e+06 3.388635e+06 3.049
20 irregular 2 14 114 50 2 0.260 slower 1 3.388636e+06 3.388639e+06 3.163
20 irregular 2 15 115 69 1.500000e+00 0.471 faster 1 3.388640e+06 3.388643e+06 2.077
20 irregular 2 16 116 69 2 0.415 slower 0 3.388644e+06 3.388646e+06 2.471
20 irregular 2 17 117 50 2 0.291 faster 0 3.388647e+06 3.388650e+06 2.539
20 irregular 2 18 118 71 2.500000e+00 0.289 slower 0 3.388651e+06 3.388654e+06 3.204
20 irregular 2 19 119 48 1.500000e+00 0.493 slower 1 3.388655e+06 3.388658e+06 2.180
20 irregular 2 20 120 71 2.500000e+00 0.362 faster 1 3.388659e+06 3.388662e+06 3.075
20 irregular 2 21 121 49 3 0.114 slower 1 3.388663e+06 3.388667e+06 3.683
20 irregular 2 22 122 50 1 0.524 slower 1 3.388670e+06 3.388671e+06 1.752
20 irregular 2 23 123 50 1.500000e+00 0.247 slower 1 3.388673e+06 3.388675e+06 2.242
20 irregular 2 24 124 51 1.500000e+00 0.351 faster 0 3.388676e+06 3.388679e+06 2.254
20 irregular 2 25 125 50 2.500000e+00 0.451 slower 1 3.388680e+06 3.388684e+06 3.976
20 irregular 2 26 126 50 3 0.184 faster 0 3.388686e+06 3.388690e+06 4.326
20 irregular 2 27 127 71 1 0.517 faster 1 3.388692e+06 3.388694e+06 1.867
20 irregular 2 28 128 50 2 0.462 faster 0 3.388695e+06 3.388698e+06 2.576
20 irregular 2 29 129 71 2 0.582 faster 1 3.388700e+06 3.388702e+06 2.567
20 irregular 2 30 130 71 3 0.206 faster 1 3.388704e+06 3.388708e+06 3.567
20 irregular 2 31 131 50 2.500000e+00 0.505 faster 0 3.388709e+06 3.388713e+06 3.192
20 irregular 2 32 132 71 3 0.591 faster 1 3.388715e+06 3.388719e+06 3.723
20 irregular 2 33 133 49 2.500000e+00 0.343 slower 1 3.388720e+06 3.388724e+06 3.406
20 irregular 2 34 134 50 2.500000e+00 0.589 faster 0 3.388725e+06 3.388728e+06 3.042
20 irregular 2 35 135 71 1.500000e+00 0.509 faster 1 3.388730e+06 3.388733e+06 2.258
20 irregular 2 36 136 49 2 0.453 faster 0 3.388734e+06 3.388736e+06 2.711
20 irregular 2 37 137 72 1 0.562 faster 1 3.388738e+06 3.388740e+06 1.645
20 irregular 2 38 138 49 2 0.129 slower 1 3.388741e+06 3.388744e+06 2.602
20 irregular 2 39 139 71 3 0.361 faster 1 3.388745e+06 3.388748e+06 3.465
20 irregular 2 40 140 50 2.500000e+00 0.489 faster 0 3.388750e+06 3.388753e+06 2.968
20 irregular 2 41 141 71 3 0.489 faster 1 3.388755e+06 3.388758e+06 3.758
20 irregular 2 42 142 71 1.500000e+00 0.290 faster 1 3.388760e+06 3.388762e+06 2.440
20 irregular 2 43 143 50 1 0.376 faster 0 3.388764e+06 3.388766e+06 1.817
20 irregular 2 44 144 71 2 0.216 faster 1 3.388767e+06 3.388770e+06 2.672
20 irregular 2 45 145 71 1.500000e+00 0.220 faster 1 3.388771e+06 3.388774e+06 2.273
20 irregular 2 46 146 70 2.500000e+00 0.313 faster 1 3.388776e+06 3.388779e+06 3.296
20 irregular 2 47 147 70 2 0.371 slower 0 3.388782e+06 3.388785e+06 2.836
20 irregular 2 48 148 49 2.500000e+00 0.427 slower 1 3.388790e+06 3.388793e+06 3.276
20 irregular 2 49 149 70 2 0.203 faster 1 3.388796e+06 3.388798e+06 2.534
20 irregular 2 50 150 70 1 0.229 faster 1 3.388803e+06 3.388805e+06 1.932
20 irregular 2 51 151 69 3 0.539 faster 1 3.388806e+06 3.388810e+06 3.582
20 irregular 2 52 152 51 2 0.424 faster 0 3.388811e+06 3.388814e+06 2.807
20 irregular 2 53 153 70 1 0.348 faster 1 3.388822e+06 3.388824e+06 1.655
20 irregular 2 54 154 69 2.500000e+00 0.250 faster 1 3.388825e+06 3.388828e+06 3.085
20 irregular 2 55 155 51 2 0.119 faster 0 3.388829e+06 3.388831e+06 2.496
20 irregular 2 56 156 70 1.500000e+00 0.399 faster 1 3.388833e+06 3.388835e+06 2.017
20 irregular 2 57 157 51 1 0.168 faster 0 3.388837e+06 3.388839e+06 1.601
20 irregular 2 58 158 50 1.500000e+00 0.587 faster 0 3.388840e+06 3.388842e+06 2.078
20 irregular 2 59 159 71 3 0.572 faster 1 3.388844e+06 3.388847e+06 3.715
20 irregular 2 60 160 71 1.500000e+00 0.460 slower 0 3.388849e+06 3.388851e+06 2.232
20 irregular 2 61 161 72 2 0.595 faster 1 3.388853e+06 3.388855e+06 2.435
20 irregular 2 62 162 71 1 0.131 faster 1 3.388857e+06 3.388858e+06 1.642
20 irregular 2 63 163 49 1.500000e+00 0.320 faster 0 3.388860e+06 3.388862e+06 2.682
20 irregular 2 64 164 48 3 0.107 slower 1 3.388864e+06 3.388867e+06 3.697
20 irregular 2 65 165 71 3 0.344 faster 1 3.388869e+06 3.388873e+06 3.509
20 irregular 2 66 166 49 1 0.484 faster 0 3.388875e+06 3.388877e+06 1.682
20 irregular 2 67 167 72 1.500000e+00 0.573 faster 1 3.388878e+06 3.388880e+06 2.161
20 irregular 2 68 168 49 1 0.304 slower 1 3.388882e+06 3.388884e+06 1.976
20 irregular 2 69 169 49 1 0.215 slower 1 3.388885e+06 3.388887e+06 1.760
20 irregular 2 70 170 70 1 0.159 faster 1 3.388890e+06 3.388891e+06 1.555
20 irregular 2 71 171 70 2.500000e+00 0.554 faster 1 3.388893e+06 3.388896e+06 3.119
20 irregular 2 72 172 69 2 0.192 faster 1 3.388898e+06 3.388900e+06 2.642
20 irregular 2 73 173 69 1.500000e+00 0.256 faster 1 3.388902e+06 3.388905e+06 2.203
20 irregular 2 74 174 52 1.500000e+00 0.395 faster 0 3.388906e+06 3.388908e+06 2.096
20 irregular 2 75 175 51 3 0.481 faster 0 3.388910e+06 3.388913e+06 3.687
20 irregular 2 76 176 70 3 0.191 faster 1 3.388915e+06 3.388918e+06 3.682
20 irregular 2 77 177 50 3 0.222 faster 0 3.388920e+06 3.388923e+06 3.515
20 irregular 2 78 178 49 2.500000e+00 0.138 faster 0 3.388925e+06 3.388928e+06 3.149
20 irregular 2 79 179 72 3 0.107 faster 1 3.388929e+06 3.388933e+06 3.658
20 irregular 2 80 180 49 3 0.550 faster 0 3.388935e+06 3.388938e+06 3.664
20 irregular 2 81 181 48 2.500000e+00 0.367 faster 0 3.388939e+06 3.388942e+06 3.138
20 irregular 2 82 182 73 2.500000e+00 0.123 faster 1 3.388943e+06 3.388947e+06 3.142
20 irregular 2 83 183 47 3 0.369 slower 1 3.388949e+06 3.388952e+06 3.749
20 irregular 2 84 184 48 2 0.579 faster 0 3.388961e+06 3.388964e+06 2.575
20 irregular 2 85 185 47 3 0.203 faster 0 3.388965e+06 3.388968e+06 3.599
20 irregular 2 86 186 74 1.500000e+00 0.103 faster 1 3.388970e+06 3.388972e+06 2.001
