subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
2 regular 1 1 1 51 2.500000e+00 0.170 slower 1 1.391182e+06 1.391185e+06 3.235
2 regular 1 2 2 69 2.500000e+00 0.333 faster 1 1.391186e+06 1.391190e+06 3.059
2 regular 1 3 3 53 2.500000e+00 0.525 faster 0 1.391191e+06 1.391194e+06 3.161
2 regular 1 4 4 69 2.500000e+00 0.136 faster 1 1.391195e+06 1.391198e+06 2.971
2 regular 1 5 5 51 2.500000e+00 0.143 slower 1 1.391199e+06 1.391202e+06 3.118
2 regular 1 6 6 53 2.500000e+00 0.513 slower 1 1.391205e+06 1.391208e+06 3.420
2 regular 1 7 7 67 2.500000e+00 0.396 faster 1 1.391211e+06 1.391214e+06 3.199
2 regular 1 8 8 55 2.500000e+00 0.248 faster 0 1.391215e+06 1.391218e+06 3.113
2 regular 1 9 9 67 2.500000e+00 0.239 faster 1 1.391219e+06 1.391222e+06 2.916
2 regular 1 10 10 53 2.500000e+00 0.508 slower 1 1.391224e+06 1.391227e+06 3.140
2 regular 1 11 11 55 2.500000e+00 0.182 slower 1 1.391228e+06 1.391231e+06 3.434
2 regular 1 12 12 65 2.500000e+00 0.333 faster 1 1.391233e+06 1.391236e+06 3.274
2 regular 1 13 13 56 2.500000e+00 0.106 faster 0 1.391237e+06 1.391240e+06 3.111
2 regular 1 14 14 65 2.500000e+00 0.530 faster 1 1.391242e+06 1.391245e+06 3.054
2 regular 1 15 15 65 2.500000e+00 0.207 faster 1 1.391247e+06 1.391250e+06 3.000
2 regular 1 16 16 64 2.500000e+00 0.435 slower 0 1.391253e+06 1.391256e+06 3.077
2 regular 1 17 17 65 2.500000e+00 0.368 slower 0 1.391257e+06 1.391260e+06 3.242
2 regular 1 18 18 66 2.500000e+00 0.591 faster 1 1.391263e+06 1.391266e+06 3.012
2 regular 1 19 19 54 2.500000e+00 0.532 faster 0 1.391268e+06 1.391271e+06 3.052
2 regular 1 20 20 53 2.500000e+00 0.311 slower 1 1.391273e+06 1.391276e+06 3.110
2 regular 1 21 21 54 2.500000e+00 0.400 slower 1 1.391278e+06 1.391281e+06 3.302
2 regular 1 22 22 66 2.500000e+00 0.254 faster 1 1.391283e+06 1.391286e+06 3.325
2 regular 1 23 23 65 2.500000e+00 0.426 faster 1 1.391288e+06 1.391291e+06 3.028
2 regular 1 24 24 65 2.500000e+00 0.498 faster 1 1.391294e+06 1.391297e+06 3.017
2 regular 1 25 25 64 2.500000e+00 0.200 faster 1 1.391298e+06 1.391301e+06 3.066
2 regular 1 26 26 64 2.500000e+00 0.547 faster 1 1.391303e+06 1.391307e+06 3.512
2 regular 1 27 27 57 2.500000e+00 0.424 slower 1 1.391309e+06 1.391312e+06 3.151
2 regular 1 28 28 57 2.500000e+00 0.523 slower 1 1.391314e+06 1.391317e+06 3.164
2 regular 1 29 29 62 2.500000e+00 0.135 slower 0 1.391318e+06 1.391322e+06 3.866
2 regular 1 30 30 63 2.500000e+00 0.218 faster 1 1.391334e+06 1.391337e+06 3.487
2 regular 1 31 31 63 2.500000e+00 0.563 slower 0 1.391339e+06 1.391343e+06 3.953
2 regular 1 32 32 56 2.500000e+00 0.352 faster 0 1.391345e+06 1.391348e+06 3.067
2 regular 1 33 33 55 2.500000e+00 0.536 faster 0 1.391350e+06 1.391353e+06 3.413
2 regular 1 34 34 66 2.500000e+00 0.505 faster 1 1.391355e+06 1.391359e+06 3.354
2 regular 1 35 35 65 2.500000e+00 0.148 faster 1 1.391360e+06 1.391364e+06 3.387
2 regular 1 36 36 55 2.500000e+00 0.172 faster 0 1.391366e+06 1.391369e+06 3.130
2 regular 1 37 37 66 2.500000e+00 0.140 faster 1 1.391370e+06 1.391373e+06 3.215
2 regular 1 38 38 65 2.500000e+00 0.128 faster 1 1.391375e+06 1.391379e+06 3.109
2 regular 1 39 39 55 2.500000e+00 0.544 slower 1 1.391381e+06 1.391384e+06 3.364
2 regular 1 40 40 56 2.500000e+00 0.340 faster 0 1.391387e+06 1.391391e+06 3.598
2 regular 1 41 41 55 2.500000e+00 0.317 faster 0 1.391393e+06 1.391396e+06 3.076
2 regular 1 42 42 66 2.500000e+00 0.259 slower 0 1.391397e+06 1.391400e+06 3.026
2 regular 1 43 43 53 2.500000e+00 0.248 faster 0 1.391401e+06 1.391404e+06 3.250
2 regular 1 44 44 68 2.500000e+00 0.402 faster 1 1.391405e+06 1.391408e+06 3.041
2 regular 1 45 45 68 2.500000e+00 0.303 faster 1 1.391410e+06 1.391413e+06 3.118
2 regular 1 46 46 53 2.500000e+00 0.100 slower 1 1.391415e+06 1.391419e+06 3.237
2 regular 1 47 47 67 2.500000e+00 0.304 faster 1 1.391420e+06 1.391423e+06 3.135
2 regular 1 48 48 66 2.500000e+00 0.567 faster 1 1.391425e+06 1.391428e+06 3.014
2 regular 1 49 49 54 2.500000e+00 0.328 faster 0 1.391431e+06 1.391434e+06 3.118
2 regular 1 50 50 53 2.500000e+00 0.536 slower 1 1.391435e+06 1.391438e+06 3.602
2 regular 1 51 51 66 2.500000e+00 0.276 faster 1 1.391441e+06 1.391444e+06 3.028
2 regular 1 52 52 54 2.500000e+00 0.165 slower 1 1.391445e+06 1.391449e+06 3.257
2 regular 1 53 53 55 2.500000e+00 0.455 slower 1 1.391451e+06 1.391454e+06 3.351
2 regular 1 54 54 55 2.500000e+00 0.290 slower 1 1.391455e+06 1.391458e+06 3.113
2 regular 1 55 55 64 2.500000e+00 0.457 slower 0 1.391460e+06 1.391463e+06 3.115
2 regular 1 56 56 65 2.500000e+00 0.529 faster 1 1.391464e+06 1.391467e+06 3.226
2 regular 1 57 57 65 2.500000e+00 0.562 faster 1 1.391469e+06 1.391473e+06 3.589
