subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
27 irregular 1 1 1 49 1 0.215 faster 0 1.556082e+06 1.556085e+06 2.357
27 irregular 1 2 2 73 1.500000e+00 0.159 faster 1 1.556086e+06 1.556088e+06 2.176
27 irregular 1 3 3 73 3 0.554 faster 1 1.556090e+06 1.556093e+06 3.531
27 irregular 1 4 4 71 1.500000e+00 0.192 faster 1 1.556095e+06 1.556097e+06 1.978
27 irregular 1 5 5 71 2.500000e+00 0.256 faster 1 1.556098e+06 1.556101e+06 2.875
27 irregular 1 6 6 51 1 0.395 faster 0 1.556103e+06 1.556104e+06 1.464
27 irregular 1 7 7 71 2 0.481 faster 1 1.556106e+06 1.556108e+06 2.357
27 irregular 1 8 8 49 2.500000e+00 0.191 slower 1 1.556110e+06 1.556113e+06 3.095
27 irregular 1 9 9 51 3 0.222 faster 0 1.556114e+06 1.556118e+06 3.618
27 irregular 1 10 10 50 3 0.138 faster 0 1.556119e+06 1.556123e+06 3.941
27 irregular 1 11 11 49 1 0.107 faster 0 1.556124e+06 1.556126e+06 1.862
27 irregular 1 12 12 48 3 0.550 faster 0 1.556128e+06 1.556132e+06 3.981
27 irregular 1 13 13 47 3 0.367 faster 0 1.556133e+06 1.556137e+06 3.972
27 irregular 1 14 14 74 1 0.123 faster 1 1.556139e+06 1.556141e+06 2.441
27 irregular 1 15 15 74 2.500000e+00 0.369 faster 1 1.556142e+06 1.556146e+06 3.358
27 irregular 1 16 16 73 2 0.579 faster 1 1.556147e+06 1.556150e+06 3.105
27 irregular 1 17 17 73 2.500000e+00 0.203 faster 1 1.556152e+06 1.556155e+06 3.070
27 irregular 1 18 18 48 2 0.103 slower 1 1.556156e+06 1.556159e+06 3.052
27 irregular 1 19 19 72 1.500000e+00 0.323 faster 1 1.556161e+06 1.556163e+06 2.018
27 irregular 1 20 20 71 2 0.111 faster 1 1.556164e+06 1.556167e+06 2.604
27 irregular 1 21 21 49 3 0.256 slower 1 1.556168e+06 1.556172e+06 3.651
27 irregular 1 22 22 70 2.500000e+00 0.317 faster 1 1.556173e+06 1.556176e+06 3.092
27 irregular 1 23 23 50 2.500000e+00 0.334 slower 1 1.556179e+06 1.556183e+06 3.478
27 irregular 1 24 24 51 2 0.250 faster 0 1.556184e+06 1.556187e+06 2.580
27 irregular 1 25 25 50 1 0.499 slower 1 1.556188e+06 1.556190e+06 2.044
27 irregular 1 26 26 50 1 0.230 slower 1 1.556192e+06 1.556193e+06 1.650
27 irregular 1 27 27 69 2 0.341 faster 1 1.556195e+06 1.556198e+06 2.844
27 irregular 1 28 28 69 1 0.181 faster 1 1.556199e+06 1.556201e+06 2.346
27 irregular 1 29 29 52 2 0.568 faster 0 1.556203e+06 1.556206e+06 2.631
27 irregular 1 30 30 69 1 0.109 faster 1 1.556208e+06 1.556209e+06 1.827
