subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
28 regular 1 1 1 53 2 0.358 slower 1 1.803383e+06 1.803386e+06 2.838
28 regular 1 2 2 53 2 0.196 slower 1 1.803387e+06 1.803389e+06 2.553
28 regular 1 3 3 55 2 0.276 faster 0 1.803390e+06 1.803393e+06 2.592
28 regular 1 4 4 67 2 0.402 faster 1 1.803394e+06 1.803397e+06 2.670
28 regular 1 5 5 67 2 0.243 faster 1 1.803398e+06 1.803402e+06 3.688
28 regular 1 6 6 55 2 0.562 slower 1 1.803403e+06 1.803406e+06 2.856
28 regular 1 7 7 55 2 0.331 slower 1 1.803407e+06 1.803410e+06 2.671
28 regular 1 8 8 63 2 0.253 slower 0 1.803411e+06 1.803414e+06 2.692
28 regular 1 9 9 55 2 0.134 slower 1 1.803414e+06 1.803417e+06 2.636
28 regular 1 10 10 65 2 0.410 slower 0 1.803418e+06 1.803421e+06 2.733
28 regular 1 11 11 53 2 0.217 slower 1 1.803422e+06 1.803424e+06 2.568
28 regular 1 12 12 65 2 0.267 slower 0 1.803426e+06 1.803429e+06 3.000
28 regular 1 13 13 66 2 0.432 slower 0 1.803430e+06 1.803433e+06 3.145
28 regular 1 14 14 67 2 0.492 faster 1 1.803435e+06 1.803437e+06 2.631
28 regular 1 15 15 67 2 0.535 faster 1 1.803439e+06 1.803442e+06 2.909
28 regular 1 16 16 66 2 0.149 faster 1 1.803443e+06 1.803445e+06 2.695
28 regular 1 17 17 54 2 0.392 slower 1 1.803446e+06 1.803449e+06 2.621
28 regular 1 18 18 55 2 0.132 slower 1 1.803450e+06 1.803453e+06 2.833
28 regular 1 19 19 65 2 0.297 slower 0 1.803454e+06 1.803457e+06 2.911
28 regular 1 20 20 66 2 0.470 faster 1 1.803458e+06 1.803461e+06 2.613
28 regular 1 21 21 65 2 0.103 faster 1 1.803462e+06 1.803464e+06 2.906
28 regular 1 22 22 65 2 0.401 faster 1 1.803466e+06 1.803469e+06 3.144
28 regular 1 23 23 56 2 0.501 faster 0 1.803470e+06 1.803473e+06 2.839
28 regular 1 24 24 65 2 0.295 faster 1 1.803474e+06 1.803477e+06 2.652
28 regular 1 25 25 65 2 0.395 faster 1 1.803478e+06 1.803480e+06 2.673
28 regular 1 26 26 64 2 0.412 faster 1 1.803482e+06 1.803484e+06 2.581
28 regular 1 27 27 64 2 0.345 faster 1 1.803486e+06 1.803488e+06 2.765
28 regular 1 28 28 63 2 0.450 faster 1 1.803490e+06 1.803493e+06 2.899
28 regular 1 29 29 63 2 0.593 faster 1 1.803494e+06 1.803497e+06 2.813
28 regular 1 30 30 62 2 0.575 slower 0 1.803498e+06 1.803501e+06 2.816
28 regular 1 31 31 63 2 0.212 faster 1 1.803502e+06 1.803504e+06 2.841
28 regular 1 32 32 63 2 0.193 slower 0 1.803506e+06 1.803509e+06 3.358
28 regular 1 33 33 56 2 0.425 slower 1 1.803510e+06 1.803513e+06 2.706
28 regular 1 34 34 63 2 0.597 slower 0 1.803514e+06 1.803518e+06 3.114
28 regular 1 35 35 56 2 0.295 slower 1 1.803519e+06 1.803522e+06 2.769
28 regular 1 36 36 64 2 0.244 faster 1 1.803523e+06 1.803526e+06 3.241
28 regular 1 37 37 57 2 0.319 slower 1 1.803527e+06 1.803530e+06 2.841
28 regular 1 38 38 63 2 0.363 faster 1 1.803531e+06 1.803534e+06 2.731
28 regular 1 39 39 58 2 0.321 slower 1 1.803535e+06 1.803538e+06 2.688
28 regular 1 40 40 58 2 0.262 slower 1 1.803539e+06 1.803542e+06 3.004
28 regular 1 41 41 59 2 0.118 slower 1 1.803543e+06 1.803546e+06 2.835
28 regular 1 42 42 59 2 0.528 slower 1 1.803547e+06 1.803551e+06 3.189
28 regular 1 43 43 59 2 0.494 slower 1 1.803552e+06 1.803555e+06 2.790
28 regular 1 44 44 59 2 0.596 faster 0 1.803556e+06 1.803559e+06 3.110
28 regular 1 45 45 62 2 0.178 slower 0 1.803560e+06 1.803563e+06 2.933
28 regular 1 46 46 57 2 0.266 slower 1 1.803564e+06 1.803567e+06 2.684
28 regular 1 47 47 62 2 0.386 slower 0 1.803568e+06 1.803571e+06 2.861
28 regular 1 48 48 57 2 0.557 slower 1 1.803572e+06 1.803575e+06 2.787
28 regular 1 49 49 63 2 0.141 slower 0 1.803576e+06 1.803578e+06 2.669
28 regular 1 50 50 56 2 0.484 slower 1 1.803580e+06 1.803582e+06 2.634
28 regular 1 51 51 63 2 0.375 slower 0 1.803583e+06 1.803586e+06 2.605
28 regular 1 52 52 56 2 0.484 slower 1 1.803587e+06 1.803590e+06 2.577
28 regular 1 53 53 64 2 0.536 slower 0 1.803591e+06 1.803593e+06 2.525
28 regular 1 54 54 65 2 0.419 faster 1 1.803595e+06 1.803598e+06 2.955
28 regular 1 55 55 56 2 0.353 slower 1 1.803599e+06 1.803602e+06 2.819
28 regular 1 56 56 56 2 0.113 slower 1 1.803603e+06 1.803606e+06 2.713
28 regular 1 57 57 57 2 0.117 slower 1 1.803607e+06 1.803609e+06 2.593
28 regular 1 58 58 57 2 0.541 slower 1 1.803611e+06 1.803613e+06 2.498
28 regular 1 59 59 58 2 0.309 slower 1 1.803614e+06 1.803617e+06 2.578
28 regular 1 60 60 62 2 0.364 slower 0 1.803618e+06 1.803620e+06 2.621
28 regular 1 61 61 57 2 0.282 slower 1 1.803621e+06 1.803624e+06 2.639
28 regular 1 62 62 58 2 0.198 slower 1 1.803625e+06 1.803627e+06 2.467
28 regular 1 63 63 62 2 0.471 slower 0 1.803628e+06 1.803631e+06 2.450
28 regular 1 64 64 63 2 0.337 slower 0 1.803632e+06 1.803634e+06 2.499
28 regular 1 65 65 64 2 0.582 slower 0 1.803636e+06 1.803638e+06 2.501
28 regular 1 66 66 55 2 0.497 slower 1 1.803639e+06 1.803643e+06 3.366
28 regular 1 67 67 56 2 0.281 slower 1 1.803644e+06 1.803646e+06 2.619
28 regular 1 68 68 64 2 0.254 slower 0 1.803647e+06 1.803650e+06 2.673
28 regular 1 69 69 65 2 0.318 slower 0 1.803651e+06 1.803655e+06 3.480
28 regular 1 70 70 54 2 0.578 slower 1 1.803656e+06 1.803659e+06 3.036
28 regular 1 71 71 65 2 0.213 slower 0 1.803660e+06 1.803663e+06 2.754
28 regular 1 72 72 66 2 0.429 faster 1 1.803664e+06 1.803667e+06 2.638
28 regular 1 73 73 66 2 0.191 faster 1 1.803668e+06 1.803671e+06 3.261
28 regular 1 74 74 65 2 0.102 faster 1 1.803672e+06 1.803675e+06 3.493
28 regular 1 75 75 55 2 0.403 faster 0 1.803676e+06 1.803679e+06 3.058
28 regular 1 76 76 66 2 0.325 faster 1 1.803681e+06 1.803683e+06 2.786
28 regular 1 77 77 55 2 0.593 faster 0 1.803685e+06 1.803688e+06 3.098
28 regular 1 78 78 54 2 0.524 slower 1 1.803689e+06 1.803692e+06 2.804
28 regular 1 79 79 66 2 0.323 faster 1 1.803693e+06 1.803696e+06 2.806
28 regular 1 80 80 65 2 0.336 faster 1 1.803697e+06 1.803700e+06 2.932
