subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
31 irregular 1 1 1 65 1 0.153 faster 1 2.158966e+06 2.158968e+06 1.756
31 irregular 1 2 2 55 1 0.199 faster 0 2.158969e+06 2.158971e+06 1.762
31 irregular 1 3 3 53 1 0.240 faster 0 2.158972e+06 2.158974e+06 1.862
31 irregular 1 4 4 69 3 0.146 slower 0 2.158975e+06 2.158979e+06 3.700
31 irregular 1 5 5 71 2.500000e+00 0.583 faster 1 2.158981e+06 2.158984e+06 3.242
31 irregular 1 6 6 51 2.500000e+00 0.529 slower 1 2.158986e+06 2.158989e+06 3.184
31 irregular 1 7 7 51 1 0.143 slower 1 2.158990e+06 2.158992e+06 2.125
31 irregular 1 8 8 67 1 0.355 slower 0 2.158993e+06 2.158995e+06 1.826
31 irregular 1 9 9 69 3 0.464 faster 1 2.158996e+06 2.159000e+06 3.852
31 irregular 1 10 10 69 1 0.147 slower 0 2.159001e+06 2.159003e+06 1.726
31 irregular 1 11 11 49 2.500000e+00 0.580 slower 1 2.159004e+06 2.159008e+06 3.256
31 irregular 1 12 12 69 1.500000e+00 0.475 faster 1 2.159009e+06 2.159011e+06 2.407
31 irregular 1 13 13 69 1.500000e+00 0.504 slower 0 2.159013e+06 2.159015e+06 2.289
31 irregular 1 14 14 50 1 0.275 slower 1 2.159016e+06 2.159018e+06 1.826
31 irregular 1 15 15 69 3 0.323 faster 1 2.159019e+06 2.159023e+06 3.552
31 irregular 1 16 16 69 1.500000e+00 0.271 faster 1 2.159025e+06 2.159027e+06 2.448
31 irregular 1 17 17 68 1.500000e+00 0.426 faster 1 2.159029e+06 2.159031e+06 2.364
31 irregular 1 18 18 52 1 0.522 faster 0 2.159033e+06 2.159035e+06 1.511
31 irregular 1 19 19 69 3 0.377 slower 0 2.159036e+06 2.159041e+06 4.567
31 irregular 1 20 20 50 3 0.274 slower 1 2.159042e+06 2.159046e+06 3.942
31 irregular 1 21 21 69 2 0.251 faster 1 2.159047e+06 2.159050e+06 3.174
31 irregular 1 22 22 69 1.500000e+00 0.400 faster 1 2.159051e+06 2.159054e+06 2.552
31 irregular 1 23 23 68 2 0.339 faster 1 2.159055e+06 2.159058e+06 2.837
31 irregular 1 24 24 52 2.500000e+00 0.511 faster 0 2.159059e+06 2.159063e+06 3.568
31 irregular 1 25 25 69 1.500000e+00 0.581 faster 1 2.159064e+06 2.159067e+06 2.375
31 irregular 1 26 26 52 3 0.524 faster 0 2.159068e+06 2.159072e+06 3.916
31 irregular 1 27 27 51 2.500000e+00 0.168 slower 1 2.159073e+06 2.159076e+06 3.462
31 irregular 1 28 28 51 2.500000e+00 0.146 slower 1 2.159077e+06 2.159081e+06 3.448
31 irregular 1 29 29 52 2 0.434 faster 0 2.159082e+06 2.159085e+06 2.969
31 irregular 1 30 30 51 1 0.267 slower 1 2.159086e+06 2.159088e+06 1.801
31 irregular 1 31 31 69 2.500000e+00 0.217 faster 1 2.159089e+06 2.159093e+06 3.976
31 irregular 1 32 32 52 3 0.198 slower 1 2.159094e+06 2.159098e+06 4.052
31 irregular 1 33 33 68 1 0.575 slower 0 2.159100e+06 2.159102e+06 1.823
31 irregular 1 34 34 69 2 0.207 faster 1 2.159103e+06 2.159106e+06 2.884
31 irregular 1 35 35 68 2 0.106 slower 0 2.159107e+06 2.159110e+06 3.024
31 irregular 1 36 36 69 2.500000e+00 0.146 faster 1 2.159111e+06 2.159114e+06 3.410
31 irregular 1 37 37 51 2.500000e+00 0.584 slower 1 2.159116e+06 2.159119e+06 3.171
31 irregular 1 38 38 52 1 0.316 slower 1 2.159120e+06 2.159122e+06 1.798
31 irregular 1 39 39 68 2 0.391 faster 1 2.159123e+06 2.159126e+06 3.093
31 irregular 1 40 40 53 2 0.119 slower 1 2.159127e+06 2.159130e+06 3.027
31 irregular 1 41 41 53 3 0.596 slower 1 2.159131e+06 2.159135e+06 3.851
31 irregular 1 42 42 54 2 0.441 slower 1 2.159137e+06 2.159139e+06 2.788
31 irregular 1 43 43 54 3 0.161 faster 0 2.159140e+06 2.159144e+06 3.731
31 irregular 1 44 44 53 2 0.515 faster 0 2.159146e+06 2.159149e+06 2.970
31 irregular 1 45 45 68 1.500000e+00 0.300 faster 1 2.159150e+06 2.159152e+06 2.434
31 irregular 1 46 46 53 1.500000e+00 0.595 slower 1 2.159154e+06 2.159156e+06 2.754
31 irregular 1 47 47 53 1.500000e+00 0.566 slower 1 2.159158e+06 2.159160e+06 2.255
31 irregular 1 48 48 66 1 0.344 slower 0 2.159161e+06 2.159163e+06 2.220
31 irregular 1 49 49 67 2.500000e+00 0.585 faster 1 2.159165e+06 2.159168e+06 3.410
31 irregular 1 50 50 67 2.500000e+00 0.267 slower 0 2.159169e+06 2.159173e+06 3.463
31 irregular 1 51 51 52 1.500000e+00 0.241 slower 1 2.159174e+06 2.159176e+06 2.270
31 irregular 1 52 52 67 2.500000e+00 0.505 faster 1 2.159178e+06 2.159181e+06 3.265
31 irregular 1 53 53 53 2 0.219 slower 1 2.159182e+06 2.159185e+06 2.960
31 irregular 1 54 54 54 3 0.297 faster 0 2.159186e+06 2.159190e+06 3.840
31 irregular 1 55 55 53 1.500000e+00 0.139 slower 1 2.159191e+06 2.159193e+06 2.563
31 irregular 1 56 56 53 2 0.186 slower 1 2.159195e+06 2.159197e+06 2.728
31 irregular 1 57 57 54 1.500000e+00 0.118 faster 0 2.159198e+06 2.159201e+06 2.464
31 irregular 1 58 58 67 1 0.326 slower 0 2.159202e+06 2.159204e+06 1.752
31 irregular 1 59 59 52 2.500000e+00 0.336 faster 0 2.159205e+06 2.159208e+06 3.345
31 irregular 1 60 60 51 2 0.124 faster 0 2.159209e+06 2.159212e+06 3.011
31 irregular 1 61 61 70 2.500000e+00 0.161 faster 1 2.159214e+06 2.159217e+06 3.308
31 irregular 1 62 62 50 2 0.287 slower 1 2.159219e+06 2.159221e+06 2.616
31 irregular 1 63 63 69 2.500000e+00 0.584 faster 1 2.159223e+06 2.159226e+06 3.411
31 irregular 1 64 64 51 3 0.401 slower 1 2.159227e+06 2.159231e+06 3.999
31 irregular 1 65 65 52 2.500000e+00 0.484 slower 1 2.159233e+06 2.159236e+06 3.222
31 irregular 1 66 66 52 2.500000e+00 0.161 slower 1 2.159237e+06 2.159241e+06 3.319
31 irregular 1 67 67 53 1.500000e+00 0.131 slower 1 2.159242e+06 2.159244e+06 2.293
31 irregular 1 68 68 53 1.500000e+00 0.580 slower 1 2.159245e+06 2.159248e+06 2.309
31 irregular 1 69 69 54 1 0.381 slower 1 2.159249e+06 2.159251e+06 1.885
31 irregular 1 70 70 66 1 0.311 slower 0 2.159252e+06 2.159254e+06 1.970
31 irregular 1 71 71 67 1 0.146 slower 0 2.159255e+06 2.159257e+06 2.126
31 irregular 1 72 72 52 1 0.525 slower 1 2.159258e+06 2.159260e+06 1.716
31 irregular 1 73 73 53 3 0.239 faster 0 2.159261e+06 2.159265e+06 3.912
31 irregular 1 74 74 68 2.500000e+00 0.576 faster 1 2.159267e+06 2.159270e+06 3.135
31 irregular 1 75 75 68 1.500000e+00 0.117 slower 0 2.159271e+06 2.159273e+06 2.371
31 irregular 1 76 76 69 1 0.533 slower 0 2.159274e+06 2.159276e+06 2.029
31 irregular 1 77 77 70 2 0.517 faster 1 2.159278e+06 2.159281e+06 2.794
31 irregular 1 78 78 69 3 0.263 faster 1 2.159282e+06 2.159285e+06 3.810
31 irregular 1 79 79 51 2 0.209 slower 1 2.159287e+06 2.159289e+06 2.836
31 irregular 1 80 80 68 2 0.526 slower 0 2.159291e+06 2.159294e+06 2.836
31 irregular 1 81 81 69 2 0.318 slower 0 2.159295e+06 2.159298e+06 2.941
31 irregular 1 82 82 70 3 0.217 slower 0 2.159299e+06 2.159302e+06 3.693
31 irregular 1 83 83 71 2 0.389 faster 1 2.159304e+06 2.159307e+06 3.032
31 irregular 1 84 84 49 1 0.292 slower 1 2.159308e+06 2.159310e+06 1.797
31 irregular 1 85 85 70 3 0.600 faster 1 2.159311e+06 2.159315e+06 3.653
31 irregular 1 86 86 70 2 0.227 slower 0 2.159316e+06 2.159319e+06 3.052
31 irregular 1 87 87 71 1.500000e+00 0.439 slower 0 2.159320e+06 2.159323e+06 2.378
31 irregular 1 88 88 72 3 0.358 faster 1 2.159324e+06 2.159328e+06 4.170
31 irregular 1 89 89 49 3 0.573 slower 1 2.159329e+06 2.159333e+06 3.729
31 irregular 1 90 90 49 3 0.202 slower 1 2.159334e+06 2.159338e+06 3.680
31 irregular 1 91 91 50 2.500000e+00 0.450 slower 1 2.159339e+06 2.159342e+06 3.208
