subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
19 irregular 1 1 1 49 1 0.370 faster 0 3.278565e+06 3.278567e+06 1.946
19 irregular 1 2 2 73 1 0.289 faster 1 3.278568e+06 3.278570e+06 1.694
19 irregular 1 3 3 73 2 0.106 faster 1 3.278570e+06 3.278573e+06 2.680
19 irregular 1 4 4 49 1 0.488 faster 0 3.278574e+06 3.278576e+06 2.041
19 irregular 1 5 5 73 1 0.570 faster 1 3.278577e+06 3.278579e+06 1.626
19 irregular 1 6 6 47 3 0.385 slower 1 3.278581e+06 3.278584e+06 3.666
19 irregular 1 7 7 71 2.500000e+00 0.446 faster 1 3.278585e+06 3.278589e+06 3.372
19 irregular 1 8 8 71 3 0.545 faster 1 3.278590e+06 3.278594e+06 3.855
19 irregular 1 9 9 50 3 0.568 slower 1 3.278596e+06 3.278600e+06 3.610
19 irregular 1 10 10 50 2 0.440 faster 0 3.278601e+06 3.278604e+06 2.717
19 irregular 1 11 11 49 1.500000e+00 0.428 slower 1 3.278605e+06 3.278607e+06 2.381
19 irregular 1 12 12 70 3 0.408 faster 1 3.278608e+06 3.278612e+06 3.642
19 irregular 1 13 13 70 1 0.563 faster 1 3.278614e+06 3.278616e+06 1.963
19 irregular 1 14 14 51 1 0.303 faster 0 3.278617e+06 3.278618e+06 1.752
19 irregular 1 15 15 70 2 0.575 faster 1 3.278620e+06 3.278622e+06 2.691
19 irregular 1 16 16 70 2.500000e+00 0.549 faster 1 3.278624e+06 3.278627e+06 3.129
19 irregular 1 17 17 69 2 0.448 faster 1 3.278628e+06 3.278631e+06 2.608
19 irregular 1 18 18 69 2.500000e+00 0.146 faster 1 3.278632e+06 3.278635e+06 3.150
19 irregular 1 19 19 52 3 0.263 slower 1 3.278636e+06 3.278640e+06 3.593
19 irregular 1 20 20 68 2.500000e+00 0.152 slower 0 3.278641e+06 3.278644e+06 3.282
19 irregular 1 21 21 69 1.500000e+00 0.300 faster 1 3.278645e+06 3.278648e+06 2.193
19 irregular 1 22 22 68 1 0.597 slower 0 3.278649e+06 3.278651e+06 1.849
19 irregular 1 23 23 51 2 0.110 slower 1 3.278651e+06 3.278654e+06 2.612
19 irregular 1 24 24 51 2.500000e+00 0.576 slower 1 3.278656e+06 3.278659e+06 3.141
19 irregular 1 25 25 52 3 0.105 faster 0 3.278660e+06 3.278663e+06 3.561
19 irregular 1 26 26 69 1.500000e+00 0.470 faster 1 3.278665e+06 3.278667e+06 2.071
19 irregular 1 27 27 51 2.500000e+00 0.448 slower 1 3.278668e+06 3.278671e+06 3.178
19 irregular 1 28 28 52 1.500000e+00 0.442 slower 1 3.278673e+06 3.278675e+06 2.150
19 irregular 1 29 29 52 2 0.222 slower 1 3.278676e+06 3.278678e+06 2.630
19 irregular 1 30 30 53 2.500000e+00 0.104 slower 1 3.278679e+06 3.278682e+06 3.054
19 irregular 1 31 31 67 2 0.325 faster 1 3.278684e+06 3.278686e+06 2.490
19 irregular 1 32 32 66 1.500000e+00 0.286 faster 1 3.278687e+06 3.278689e+06 2.016
19 irregular 1 33 33 54 2.500000e+00 0.129 faster 0 3.278690e+06 3.278694e+06 3.109
19 irregular 1 34 34 67 1.500000e+00 0.127 faster 1 3.278694e+06 3.278696e+06 2.039
19 irregular 1 35 35 54 1.500000e+00 0.316 faster 0 3.278697e+06 3.278700e+06 2.135
19 irregular 1 36 36 53 1.500000e+00 0.172 slower 1 3.278701e+06 3.278703e+06 2.261
19 irregular 1 37 37 67 3 0.359 faster 1 3.278704e+06 3.278708e+06 3.577
19 irregular 1 38 38 54 1 0.568 slower 1 3.278709e+06 3.278711e+06 1.770
19 irregular 1 39 39 66 3 0.520 faster 1 3.278712e+06 3.278716e+06 3.426
19 irregular 1 40 40 55 2 0.141 slower 1 3.278717e+06 3.278720e+06 2.799
19 irregular 1 41 41 55 3 0.510 slower 1 3.278721e+06 3.278725e+06 3.614
19 irregular 1 42 42 64 2 0.561 slower 0 3.278726e+06 3.278729e+06 2.822
19 irregular 1 43 43 55 2 0.318 slower 1 3.278730e+06 3.278733e+06 2.723
19 irregular 1 44 44 55 2.500000e+00 0.310 slower 1 3.278734e+06 3.278737e+06 3.210
19 irregular 1 45 45 64 1.500000e+00 0.455 faster 1 3.278738e+06 3.278740e+06 1.981
19 irregular 1 46 46 56 3 0.407 slower 1 3.278741e+06 3.278745e+06 3.812
19 irregular 1 47 47 57 1 0.213 slower 1 3.278746e+06 3.278748e+06 1.720
19 irregular 1 48 48 57 1 0.256 faster 0 3.278749e+06 3.278751e+06 2.002
19 irregular 1 49 49 64 3 0.241 faster 1 3.278752e+06 3.278755e+06 3.762
19 irregular 1 50 50 63 2 0.557 slower 0 3.278757e+06 3.278760e+06 3.133
19 irregular 1 51 51 64 3 0.564 faster 1 3.278762e+06 3.278765e+06 3.582
19 irregular 1 52 52 64 3 0.558 slower 0 3.278766e+06 3.278770e+06 3.792
19 irregular 1 53 53 55 2 0.106 slower 1 3.278771e+06 3.278774e+06 2.920
19 irregular 1 54 54 56 1.500000e+00 0.325 slower 1 3.278775e+06 3.278778e+06 2.322
19 irregular 1 55 55 64 1 0.250 faster 1 3.278779e+06 3.278780e+06 1.759
19 irregular 1 56 56 57 2.500000e+00 0.180 faster 0 3.278781e+06 3.278785e+06 3.396
19 irregular 1 57 57 64 2.500000e+00 0.247 faster 1 3.278786e+06 3.278789e+06 3.142
19 irregular 1 58 58 56 2.500000e+00 0.216 faster 0 3.278790e+06 3.278793e+06 3.126
19 irregular 1 59 59 55 1 0.470 faster 0 3.278795e+06 3.278796e+06 1.589
19 irregular 1 60 60 54 2.500000e+00 0.449 faster 0 3.278797e+06 3.278801e+06 3.491
19 irregular 1 61 61 53 1 0.165 faster 0 3.278802e+06 3.278804e+06 2.536
19 irregular 1 62 62 68 2.500000e+00 0.295 faster 1 3.278805e+06 3.278808e+06 3.250
19 irregular 1 63 63 53 2 0.107 slower 1 3.278809e+06 3.278812e+06 2.842
19 irregular 1 64 64 53 1.500000e+00 0.357 slower 1 3.278813e+06 3.278816e+06 2.704
19 irregular 1 65 65 54 1 0.371 faster 0 3.278817e+06 3.278819e+06 2.145
19 irregular 1 66 66 67 1.500000e+00 0.139 faster 1 3.278820e+06 3.278822e+06 2.207
19 irregular 1 67 67 67 2.500000e+00 0.549 faster 1 3.278824e+06 3.278827e+06 3.112
19 irregular 1 68 68 54 1 0.508 faster 0 3.278828e+06 3.278830e+06 2.032
19 irregular 1 69 69 67 3 0.236 faster 1 3.278831e+06 3.278836e+06 4.338
19 irregular 1 70 70 67 3 0.508 slower 0 3.278837e+06 3.278841e+06 3.835
19 irregular 1 71 71 68 1 0.104 faster 1 3.278842e+06 3.278844e+06 1.851
19 irregular 1 72 72 67 2 0.535 faster 1 3.278845e+06 3.278848e+06 3.008
19 irregular 1 73 73 53 2 0.235 slower 1 3.278849e+06 3.278852e+06 3.115
