subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
3 irregular 1 1 1 30 1.500000e+00 0.352 faster 0 1.118849e+06 1.118851e+06 2.193
3 irregular 1 2 2 30 3 0.469 faster 0 1.118852e+06 1.118856e+06 3.680
3 irregular 1 3 3 90 1.500000e+00 0.329 slower 0 1.118858e+06 1.118860e+06 2.889
3 irregular 1 4 4 90 3 0.400 slower 0 1.118862e+06 1.118865e+06 3.931
3 irregular 1 5 5 30 3 0.458 faster 0 1.118867e+06 1.118871e+06 3.956
3 irregular 1 6 6 30 3 0.250 faster 0 1.118873e+06 1.118877e+06 4.107
3 irregular 1 7 7 30 1 0.353 faster 0 1.118879e+06 1.118882e+06 2.613
3 irregular 1 8 8 30 2.500000e+00 0.254 faster 0 1.118882e+06 1.118886e+06 3.583
3 irregular 1 9 9 90 1 0.158 slower 0 1.118887e+06 1.118890e+06 2.735
3 irregular 1 10 10 30 2.500000e+00 0.459 faster 0 1.118891e+06 1.118895e+06 3.671
3 irregular 1 11 11 90 1 0.276 slower 0 1.118896e+06 1.118898e+06 2.568
3 irregular 1 12 12 30 2.500000e+00 0.407 faster 0 1.118899e+06 1.118903e+06 3.675
3 irregular 1 13 13 90 2.500000e+00 0.562 faster 1 1.118906e+06 1.118910e+06 3.955
3 irregular 1 14 14 30 1 0.388 faster 0 1.118912e+06 1.118914e+06 2.206
3 irregular 1 15 15 30 1 0.589 faster 0 1.118916e+06 1.118918e+06 1.926
3 irregular 1 16 16 90 1.500000e+00 0.167 faster 1 1.118920e+06 1.118923e+06 2.937
3 irregular 1 17 17 32 2 0.576 faster 0 1.118924e+06 1.118927e+06 3.100
3 irregular 1 18 18 90 3 0.557 slower 0 1.118928e+06 1.118932e+06 3.915
3 irregular 1 19 19 90 2.500000e+00 0.567 slower 0 1.118935e+06 1.118939e+06 3.419
3 irregular 1 20 20 90 2.500000e+00 0.114 slower 0 1.118940e+06 1.118943e+06 3.305
3 irregular 1 21 21 30 2 0.564 faster 0 1.118946e+06 1.118949e+06 3.378
3 irregular 1 22 22 30 1 0.508 faster 0 1.118951e+06 1.118953e+06 2.153
3 irregular 1 23 23 30 1 0.295 slower 1 1.118955e+06 1.118959e+06 3.355
3 irregular 1 24 24 90 2.500000e+00 0.177 slower 0 1.118961e+06 1.118964e+06 3.515
3 irregular 1 25 25 30 1.500000e+00 0.357 faster 0 1.118966e+06 1.118969e+06 2.640
3 irregular 1 26 26 90 2 0.358 slower 0 1.118971e+06 1.118974e+06 2.956
3 irregular 1 27 27 30 1 0.439 slower 1 1.118976e+06 1.118977e+06 1.828
3 irregular 1 28 28 88 3 0.199 slower 0 1.118979e+06 1.118983e+06 3.883
3 irregular 1 29 29 90 2 0.146 slower 0 1.118985e+06 1.118988e+06 3.138
3 irregular 1 30 30 90 3 0.365 none 2 1.118992e+06 1.118998e+06 5.999
