subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
4 regular 1 1 1 52 1 0.337 faster 0 5.096870e+05 5.096891e+05 2.134
4 regular 1 2 2 50 1 0.119 faster 0 5.096904e+05 5.096922e+05 1.778
4 regular 1 3 3 72 1 0.242 faster 1 5.096935e+05 5.096951e+05 1.651
4 regular 1 4 4 48 1 0.290 faster 0 5.096966e+05 5.096984e+05 1.794
4 regular 1 5 5 74 1 0.401 faster 1 5.097032e+05 5.097049e+05 1.696
4 regular 1 6 6 72 1 0.138 faster 1 5.097064e+05 5.097083e+05 1.870
4 regular 1 7 7 48 1 0.548 slower 1 5.097138e+05 5.097156e+05 1.852
4 regular 1 8 8 70 1 0.570 faster 1 5.097176e+05 5.097194e+05 1.809
4 regular 1 9 9 70 1 0.328 slower 0 5.097207e+05 5.097226e+05 1.901
4 regular 1 10 10 48 1 0.437 slower 1 5.097237e+05 5.097257e+05 2.019
4 regular 1 11 11 70 1 0.543 faster 1 5.097272e+05 5.097290e+05 1.815
4 regular 1 12 12 50 1 0.542 faster 0 5.097306e+05 5.097326e+05 1.931
4 regular 1 13 13 49 1 0.383 faster 0 5.097337e+05 5.097356e+05 1.921
4 regular 1 14 14 72 1 0.354 faster 1 5.097366e+05 5.097384e+05 1.804
4 regular 1 15 15 71 1 0.502 faster 1 5.097417e+05 5.097440e+05 2.280
4 regular 1 16 16 49 1 0.261 faster 0 5.097456e+05 5.097474e+05 1.851
4 regular 1 17 17 48 1 0.286 slower 1 5.097504e+05 5.097523e+05 1.815
4 regular 1 18 18 71 1 0.592 faster 1 5.097557e+05 5.097574e+05 1.713
4 regular 1 19 19 71 1 0.147 faster 1 5.097585e+05 5.097616e+05 3.092
4 regular 1 20 20 50 1 0.194 faster 0 5.097626e+05 5.097644e+05 1.735
4 regular 1 21 21 71 1 0.219 faster 1 5.097652e+05 5.097668e+05 1.561
4 regular 1 22 22 49 1 0.166 faster 0 5.097676e+05 5.097693e+05 1.651
