subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
8 regular 1 1 1 59 2 0.113 faster 0 1.901136e+06 1.901139e+06 3.024
8 regular 1 2 2 57 2 0.259 faster 0 1.901141e+06 1.901144e+06 2.802
8 regular 1 3 3 55 2 0.314 slower 1 1.901145e+06 1.901148e+06 2.719
8 regular 1 4 4 55 2 0.356 slower 1 1.901149e+06 1.901152e+06 2.688
8 regular 1 5 5 63 2 0.256 faster 1 1.901153e+06 1.901156e+06 2.628
8 regular 1 6 6 63 2 0.167 faster 1 1.901157e+06 1.901160e+06 2.921
8 regular 1 7 7 59 2 0.366 faster 0 1.901162e+06 1.901165e+06 2.787
8 regular 1 8 8 63 2 0.430 faster 1 1.901167e+06 1.901170e+06 2.697
8 regular 1 9 9 63 2 0.317 faster 1 1.901172e+06 1.901175e+06 3.261
8 regular 1 10 10 61 2 0.290 faster 1 1.901176e+06 1.901179e+06 2.818
8 regular 1 11 11 59 2 0.178 faster 0 1.901181e+06 1.901184e+06 2.684
8 regular 1 12 12 58 2 0.579 faster 0 1.901185e+06 1.901188e+06 2.895
8 regular 1 13 13 57 2 0.462 faster 0 1.901190e+06 1.901193e+06 2.785
8 regular 1 14 14 56 2 0.132 faster 0 1.901194e+06 1.901197e+06 2.733
8 regular 1 15 15 65 2 0.126 faster 1 1.901198e+06 1.901201e+06 3.249
8 regular 1 16 16 64 2 0.124 faster 1 1.901202e+06 1.901205e+06 2.851
8 regular 1 17 17 56 2 0.531 faster 0 1.901210e+06 1.901213e+06 3.130
8 regular 1 18 18 65 2 0.555 faster 1 1.901214e+06 1.901217e+06 2.882
8 regular 1 19 19 56 2 0.156 faster 0 1.901218e+06 1.901220e+06 2.669
8 regular 1 20 20 55 2 0.572 slower 1 1.901222e+06 1.901225e+06 3.134
8 regular 1 21 21 55 2 0.595 faster 0 1.901227e+06 1.901230e+06 2.654
8 regular 1 22 22 54 2 0.121 faster 0 1.901232e+06 1.901234e+06 2.790
8 regular 1 23 23 67 2 0.221 faster 1 1.901235e+06 1.901238e+06 2.882
8 regular 1 24 24 54 2 0.240 faster 0 1.901239e+06 1.901243e+06 3.743
8 regular 1 25 25 67 2 0.363 faster 1 1.901245e+06 1.901247e+06 2.786
8 regular 1 26 26 67 2 0.519 faster 1 1.901249e+06 1.901252e+06 2.931
8 regular 1 27 27 54 2 0.484 faster 0 1.901258e+06 1.901261e+06 3.041
8 regular 1 28 28 53 2 0.525 faster 0 1.901263e+06 1.901266e+06 2.879
8 regular 1 29 29 68 2 0.332 faster 1 1.901268e+06 1.901271e+06 3.192
8 regular 1 30 30 68 2 0.457 faster 1 1.901272e+06 1.901276e+06 3.504
8 regular 1 31 31 53 2 0.329 slower 1 1.901279e+06 1.901282e+06 2.914
8 regular 1 32 32 53 2 0.408 slower 1 1.901285e+06 1.901287e+06 2.757
8 regular 1 33 33 66 2 0.467 slower 0 1.901289e+06 1.901293e+06 3.177
8 regular 1 34 34 67 2 0.393 faster 1 1.901294e+06 1.901298e+06 3.758
8 regular 1 35 35 67 2 0.207 faster 1 1.901299e+06 1.901303e+06 3.897
8 regular 1 36 36 66 2 0.511 faster 1 1.901305e+06 1.901308e+06 2.791
8 regular 1 37 37 54 2 0.237 faster 0 1.901310e+06 1.901313e+06 3.245
8 regular 1 38 38 53 2 0.480 faster 0 1.901315e+06 1.901318e+06 2.604
8 regular 1 39 39 52 2 0.114 slower 1 1.901318e+06 1.901321e+06 2.877
8 regular 1 40 40 67 2 0.304 faster 1 1.901323e+06 1.901326e+06 3.129
8 regular 1 41 41 53 2 0.335 slower 1 1.901327e+06 1.901330e+06 2.755
8 regular 1 42 42 66 2 0.183 faster 1 1.901332e+06 1.901334e+06 2.701
8 regular 1 43 43 54 2 0.209 slower 1 1.901336e+06 1.901338e+06 2.704
8 regular 1 44 44 55 2 0.179 faster 0 1.901341e+06 1.901344e+06 2.833
8 regular 1 45 45 66 2 0.518 faster 1 1.901345e+06 1.901348e+06 2.678
8 regular 1 46 46 66 2 0.316 faster 1 1.901351e+06 1.901354e+06 3.063
8 regular 1 47 47 55 2 0.147 faster 0 1.901356e+06 1.901359e+06 2.815
8 regular 1 48 48 54 2 0.274 faster 0 1.901360e+06 1.901363e+06 2.884
8 regular 1 49 49 67 2 0.413 faster 1 1.901365e+06 1.901367e+06 2.729
8 regular 1 50 50 67 2 0.302 faster 1 1.901369e+06 1.901372e+06 3.660
8 regular 1 51 51 66 2 0.409 faster 1 1.901374e+06 1.901377e+06 2.932
8 regular 1 52 52 54 2 0.530 faster 0 1.901378e+06 1.901381e+06 2.840
8 regular 1 53 53 53 2 0.367 faster 0 1.901383e+06 1.901386e+06 2.910
8 regular 1 54 54 68 2 0.279 faster 1 1.901388e+06 1.901390e+06 2.667
8 regular 1 55 55 53 2 0.142 faster 0 1.901392e+06 1.901395e+06 3.048
8 regular 1 56 56 52 2 0.424 faster 0 1.901397e+06 1.901400e+06 2.937
8 regular 1 57 57 51 2 0.306 faster 0 1.901403e+06 1.901406e+06 3.597
8 regular 1 58 58 50 2 0.240 faster 0 1.901407e+06 1.901410e+06 2.901
8 regular 1 59 59 49 2 0.485 slower 1 1.901412e+06 1.901415e+06 3.039
8 regular 1 60 60 71 2 0.344 faster 1 1.901417e+06 1.901419e+06 2.682
8 regular 1 61 61 50 2 0.463 faster 0 1.901421e+06 1.901424e+06 3.199
8 regular 1 62 62 71 2 0.181 faster 1 1.901425e+06 1.901428e+06 2.671
8 regular 1 63 63 49 2 0.527 slower 1 1.901430e+06 1.901433e+06 2.717
8 regular 1 64 64 50 2 0.202 faster 0 1.901434e+06 1.901437e+06 3.287
8 regular 1 65 65 71 2 0.134 faster 1 1.901439e+06 1.901442e+06 2.650
8 regular 1 66 66 71 2 0.213 faster 1 1.901442e+06 1.901445e+06 2.812
8 regular 1 67 67 70 2 0.382 faster 1 1.901448e+06 1.901451e+06 2.719
8 regular 1 68 68 50 2 0.330 slower 1 1.901453e+06 1.901456e+06 2.992
8 regular 1 69 69 51 2 0.133 faster 0 1.901456e+06 1.901459e+06 2.769
8 regular 1 70 70 70 2 0.167 faster 1 1.901461e+06 1.901464e+06 2.768
8 regular 1 71 71 70 2 0.475 faster 1 1.901466e+06 1.901468e+06 2.764
8 regular 1 72 72 51 2 0.114 faster 0 1.901470e+06 1.901472e+06 2.701
8 regular 1 73 73 70 2 0.275 faster 1 1.901473e+06 1.901476e+06 2.826
8 regular 1 74 74 70 2 0.448 faster 1 1.901477e+06 1.901480e+06 3.015
8 regular 1 75 75 51 2 0.298 slower 1 1.901483e+06 1.901486e+06 3.027
8 regular 1 76 76 51 2 0.410 slower 1 1.901489e+06 1.901492e+06 2.940
8 regular 1 77 77 68 2 0.291 faster 1 1.901494e+06 1.901496e+06 2.722
8 regular 1 78 78 52 2 0.520 faster 0 1.901497e+06 1.901500e+06 2.832
8 regular 1 79 79 51 2 0.452 faster 0 1.901505e+06 1.901508e+06 3.078
8 regular 1 80 80 50 2 0.294 slower 1 1.901510e+06 1.901512e+06 2.927
8 regular 1 81 81 51 2 0.247 faster 0 1.901515e+06 1.901517e+06 2.942
8 regular 1 82 82 70 2 0.274 faster 1 1.901518e+06 1.901521e+06 2.764
8 regular 1 83 83 50 2 0.521 slower 1 1.901523e+06 1.901526e+06 2.748
8 regular 1 84 84 69 2 0.326 faster 1 1.901526e+06 1.901529e+06 2.600
8 regular 1 85 85 51 2 0.269 faster 0 1.901531e+06 1.901534e+06 2.759
8 regular 1 86 86 70 2 0.265 faster 1 1.901535e+06 1.901538e+06 3.471
8 regular 1 87 87 69 2 0.253 faster 1 1.901540e+06 1.901543e+06 2.619
8 regular 1 88 88 69 2 0.506 faster 1 1.901545e+06 1.901548e+06 3.638
8 regular 1 89 89 68 2 0.164 faster 1 1.901556e+06 1.901559e+06 3.529
8 regular 1 90 90 68 2 0.534 faster 1 1.901561e+06 1.901564e+06 3.133
8 regular 1 91 91 67 2 0.161 faster 1 1.901566e+06 1.901570e+06 3.838
8 regular 1 92 92 67 2 0.150 slower 0 1.901571e+06 1.901574e+06 3.104
8 regular 1 93 93 68 2 0.488 faster 1 1.901576e+06 1.901579e+06 2.843
8 regular 1 94 94 67 2 0.242 faster 1 1.901581e+06 1.901584e+06 2.781
8 regular 1 95 95 67 2 0.304 faster 1 1.901585e+06 1.901589e+06 3.596
8 regular 1 96 96 54 2 0.206 slower 1 1.901590e+06 1.901593e+06 2.778
8 regular 1 97 97 66 2 0.188 faster 1 1.901594e+06 1.901597e+06 2.851
