subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
12 regular 1 1 1 49 3 0.404 slower 1 3.036822e+06 3.036826e+06 3.827
12 regular 1 2 2 71 3 0.408 slower 0 3.036827e+06 3.036831e+06 4.525
12 regular 1 3 3 73 3 0.215 faster 1 3.036833e+06 3.036836e+06 3.868
12 regular 1 4 4 71 3 0.298 faster 1 3.036837e+06 3.036841e+06 3.929
12 regular 1 5 5 71 3 0.574 faster 1 3.036842e+06 3.036847e+06 4.419
12 regular 1 6 6 51 3 0.519 slower 1 3.036848e+06 3.036852e+06 3.740
12 regular 1 7 7 51 3 0.324 slower 1 3.036853e+06 3.036857e+06 3.696
12 regular 1 8 8 53 3 0.239 faster 0 3.036858e+06 3.036862e+06 4.394
12 regular 1 9 9 51 3 0.137 slower 1 3.036863e+06 3.036867e+06 3.694
12 regular 1 10 10 69 3 0.380 faster 1 3.036868e+06 3.036871e+06 3.707
12 regular 1 11 11 53 3 0.197 slower 1 3.036872e+06 3.036876e+06 3.907
12 regular 1 12 12 67 3 0.328 faster 1 3.036877e+06 3.036881e+06 3.847
12 regular 1 13 13 66 3 0.473 faster 1 3.036882e+06 3.036886e+06 4.231
12 regular 1 14 14 66 3 0.152 faster 1 3.036888e+06 3.036892e+06 3.944
12 regular 1 15 15 65 3 0.472 faster 1 3.036893e+06 3.036897e+06 3.987
12 regular 1 16 16 65 3 0.568 faster 1 3.036899e+06 3.036903e+06 4.847
12 regular 1 17 17 64 3 0.527 faster 1 3.036905e+06 3.036909e+06 4.127
12 regular 1 18 18 64 3 0.260 slower 0 3.036910e+06 3.036913e+06 3.751
12 regular 1 19 19 65 3 0.431 faster 1 3.036914e+06 3.036918e+06 3.700
12 regular 1 20 20 64 3 0.206 faster 1 3.036919e+06 3.036923e+06 3.863
12 regular 1 21 21 64 3 0.588 faster 1 3.036924e+06 3.036928e+06 3.871
12 regular 1 22 22 57 3 0.271 faster 0 3.036929e+06 3.036933e+06 3.986
12 regular 1 23 23 56 3 0.279 faster 0 3.036934e+06 3.036938e+06 3.858
12 regular 1 24 24 55 3 0.107 slower 1 3.036938e+06 3.036942e+06 3.669
12 regular 1 25 25 55 3 0.448 slower 1 3.036943e+06 3.036947e+06 3.762
12 regular 1 26 26 56 3 0.539 slower 1 3.036948e+06 3.036952e+06 3.765
12 regular 1 27 27 64 3 0.387 faster 1 3.036953e+06 3.036957e+06 3.658
12 regular 1 28 28 63 3 0.451 faster 1 3.036958e+06 3.036961e+06 3.856
12 regular 1 29 29 63 3 0.579 faster 1 3.036963e+06 3.036966e+06 3.773
12 regular 1 30 30 62 3 0.407 slower 0 3.036968e+06 3.036972e+06 4.129
12 regular 1 31 31 57 3 0.491 slower 1 3.036973e+06 3.036977e+06 4.188
12 regular 1 32 32 57 3 0.298 slower 1 3.036978e+06 3.036983e+06 4.530
12 regular 1 33 33 58 3 0.369 faster 0 3.036984e+06 3.036988e+06 4.062
12 regular 1 34 34 57 3 0.405 slower 1 3.036989e+06 3.036993e+06 3.746
12 regular 1 35 35 63 3 0.383 faster 1 3.036994e+06 3.036998e+06 3.994
12 regular 1 36 36 58 3 0.537 slower 1 3.036999e+06 3.037003e+06 3.928
12 regular 1 37 37 58 3 0.204 slower 1 3.037004e+06 3.037009e+06 5.132
12 regular 1 38 38 59 3 0.398 faster 0 3.037010e+06 3.037014e+06 4.295
12 regular 1 39 39 62 3 0.199 slower 0 3.037015e+06 3.037019e+06 4.239
12 regular 1 40 40 57 3 0.288 faster 0 3.037020e+06 3.037024e+06 3.758
12 regular 1 41 41 56 3 0.580 faster 0 3.037025e+06 3.037029e+06 3.728
12 regular 1 42 42 55 3 0.229 faster 0 3.037030e+06 3.037033e+06 3.834
12 regular 1 43 43 54 3 0.446 faster 0 3.037035e+06 3.037039e+06 4.087
12 regular 1 44 44 67 3 0.437 slower 0 3.037040e+06 3.037044e+06 3.825
12 regular 1 45 45 68 3 0.161 faster 1 3.037045e+06 3.037048e+06 3.962
12 regular 1 46 46 68 3 0.110 slower 0 3.037049e+06 3.037053e+06 4.132
12 regular 1 47 47 51 3 0.286 faster 0 3.037054e+06 3.037058e+06 3.826
12 regular 1 48 48 50 3 0.463 slower 1 3.037059e+06 3.037063e+06 3.764
12 regular 1 49 49 51 3 0.537 slower 1 3.037064e+06 3.037069e+06 4.395
12 regular 1 50 50 51 3 0.351 slower 1 3.037070e+06 3.037074e+06 3.976
12 regular 1 51 51 52 3 0.523 slower 1 3.037075e+06 3.037078e+06 3.748
12 regular 1 52 52 52 3 0.300 faster 0 3.037079e+06 3.037083e+06 3.890
12 regular 1 53 53 69 3 0.241 slower 0 3.037084e+06 3.037088e+06 4.172
12 regular 1 54 54 50 3 0.190 slower 1 3.037089e+06 3.037093e+06 3.664
12 regular 1 55 55 69 3 0.251 faster 1 3.037094e+06 3.037097e+06 3.768
12 regular 1 56 56 69 3 0.320 faster 1 3.037098e+06 3.037102e+06 3.739
12 regular 1 57 57 68 3 0.316 faster 1 3.037103e+06 3.037107e+06 3.621
12 regular 1 58 58 52 3 0.293 slower 1 3.037108e+06 3.037112e+06 3.960
12 regular 1 59 59 67 3 0.381 faster 1 3.037113e+06 3.037116e+06 3.660
12 regular 1 60 60 53 3 0.218 slower 1 3.037117e+06 3.037121e+06 4.213
12 regular 1 61 61 66 3 0.108 faster 1 3.037122e+06 3.037126e+06 3.995
12 regular 1 62 62 66 3 0.253 slower 0 3.037127e+06 3.037131e+06 3.789
12 regular 1 63 63 67 3 0.299 faster 1 3.037132e+06 3.037136e+06 3.796
12 regular 1 64 64 54 3 0.145 slower 1 3.037137e+06 3.037141e+06 4.505
12 regular 1 65 65 66 3 0.350 faster 1 3.037142e+06 3.037146e+06 3.856
12 regular 1 66 66 55 3 0.153 faster 0 3.037147e+06 3.037151e+06 3.794
12 regular 1 67 67 54 3 0.541 faster 0 3.037152e+06 3.037156e+06 3.896
12 regular 1 68 68 67 3 0.108 faster 1 3.037157e+06 3.037160e+06 3.795
12 regular 1 69 69 67 3 0.585 faster 1 3.037162e+06 3.037166e+06 4.002
12 regular 1 70 70 54 3 0.119 slower 1 3.037166e+06 3.037170e+06 3.732
12 regular 1 71 71 54 3 0.127 none 2 3.037171e+06 3.037177e+06 5.999
12 regular 1 72 72 54 3 0.400 slower 1 3.037178e+06 3.037182e+06 4.422
12 regular 1 73 73 65 3 0.238 faster 1 3.037183e+06 3.037188e+06 4.700
12 regular 1 74 74 65 3 0.380 slower 0 3.037189e+06 3.037193e+06 3.736
12 regular 1 75 75 54 3 0.247 faster 0 3.037194e+06 3.037197e+06 3.776
12 regular 1 76 76 67 3 0.455 faster 1 3.037198e+06 3.037202e+06 3.914
12 regular 1 77 77 66 3 0.322 faster 1 3.037203e+06 3.037207e+06 4.104
12 regular 1 78 78 66 3 0.585 faster 1 3.037209e+06 3.037213e+06 4.322
12 regular 1 79 79 65 3 0.199 faster 1 3.037214e+06 3.037218e+06 3.871
12 regular 1 80 80 55 3 0.185 faster 0 3.037218e+06 3.037222e+06 3.869
12 regular 1 81 81 54 3 0.407 slower 1 3.037223e+06 3.037227e+06 3.635
12 regular 1 82 82 55 3 0.100 faster 0 3.037228e+06 3.037231e+06 3.586
12 regular 1 83 83 54 3 0.299 faster 0 3.037232e+06 3.037236e+06 4.028
12 regular 1 84 84 53 3 0.138 faster 0 3.037237e+06 3.037241e+06 3.932
12 regular 1 85 85 68 3 0.164 faster 1 3.037242e+06 3.037245e+06 3.688
12 regular 1 86 86 52 3 0.172 slower 1 3.037246e+06 3.037250e+06 3.678
12 regular 1 87 87 67 3 0.249 faster 1 3.037251e+06 3.037255e+06 3.790
12 regular 1 88 88 67 3 0.164 faster 1 3.037255e+06 3.037259e+06 4.010
12 regular 1 89 89 66 3 0.236 faster 1 3.037260e+06 3.037264e+06 3.859
12 regular 1 90 90 66 3 0.515 slower 0 3.037265e+06 3.037269e+06 4.111
12 regular 1 91 91 53 3 0.335 faster 0 3.037270e+06 3.037274e+06 3.619
12 regular 1 92 92 52 3 0.167 faster 0 3.037275e+06 3.037279e+06 3.830
12 regular 1 93 93 69 3 0.402 faster 1 3.037280e+06 3.037284e+06 3.967
12 regular 1 94 94 52 3 0.167 faster 0 3.037285e+06 3.037289e+06 4.504
12 regular 1 95 95 69 3 0.408 slower 0 3.037290e+06 3.037294e+06 3.791
12 regular 1 96 96 50 3 0.462 slower 1 3.037295e+06 3.037299e+06 3.869
12 regular 1 97 97 50 3 0.228 slower 1 3.037300e+06 3.037305e+06 4.576
12 regular 1 98 98 69 3 0.304 faster 1 3.037306e+06 3.037310e+06 4.046
12 regular 1 99 99 69 3 0.450 faster 1 3.037311e+06 3.037315e+06 3.829
12 regular 1 100 100 52 3 0.331 faster 0 3.037315e+06 3.037319e+06 3.898
12 irregular 2 1 101 69 2 0.534 faster 1 3.037357e+06 3.037360e+06 3.037
12 irregular 2 2 102 51 3 0.142 faster 0 3.037361e+06 3.037365e+06 3.849
12 irregular 2 3 103 50 2 0.118 faster 0 3.037366e+06 3.037369e+06 2.952
12 irregular 2 4 104 71 1 0.438 faster 1 3.037370e+06 3.037372e+06 1.837
12 irregular 2 5 105 70 1.500000e+00 0.110 faster 1 3.037373e+06 3.037375e+06 2.178
12 irregular 2 6 106 70 2 0.364 slower 0 3.037377e+06 3.037380e+06 3.683
12 irregular 2 7 107 49 1.500000e+00 0.195 slower 1 3.037381e+06 3.037384e+06 2.523
12 irregular 2 8 108 50 3 0.510 slower 1 3.037385e+06 3.037389e+06 3.836
12 irregular 2 9 109 70 2.500000e+00 0.438 faster 1 3.037390e+06 3.037393e+06 3.247
12 irregular 2 10 110 69 3 0.591 faster 1 3.037394e+06 3.037398e+06 3.741
12 irregular 2 11 111 51 2 0.310 faster 0 3.037399e+06 3.037402e+06 3.124
12 irregular 2 12 112 70 3 0.386 faster 1 3.037403e+06 3.037407e+06 3.648
12 irregular 2 13 113 69 2 0.472 faster 1 3.037408e+06 3.037411e+06 2.971
12 irregular 2 14 114 51 3 0.490 slower 1 3.037412e+06 3.037416e+06 3.739
12 irregular 2 15 115 68 3 0.190 faster 1 3.037417e+06 3.037421e+06 4.001
12 irregular 2 16 116 68 3 0.480 faster 1 3.037422e+06 3.037426e+06 3.742
12 irregular 2 17 117 67 1.500000e+00 0.309 faster 1 3.037427e+06 3.037429e+06 2.211
12 irregular 2 18 118 53 1 0.166 faster 0 3.037430e+06 3.037431e+06 1.753
12 irregular 2 19 119 68 1 0.140 faster 1 3.037432e+06 3.037434e+06 1.692
12 irregular 2 20 120 67 2 0.403 slower 0 3.037435e+06 3.037438e+06 3.030
12 irregular 2 21 121 52 1.500000e+00 0.294 slower 1 3.037439e+06 3.037441e+06 2.265
12 irregular 2 22 122 52 2.500000e+00 0.434 slower 1 3.037442e+06 3.037446e+06 3.550
12 irregular 2 23 123 67 2.500000e+00 0.177 faster 1 3.037447e+06 3.037450e+06 3.062
12 irregular 2 24 124 53 1.500000e+00 0.483 faster 0 3.037451e+06 3.037453e+06 2.157
12 irregular 2 25 125 52 2 0.380 slower 1 3.037454e+06 3.037457e+06 2.783
12 irregular 2 26 126 67 1.500000e+00 0.380 slower 0 3.037458e+06 3.037461e+06 3.176
12 irregular 2 27 127 52 1 0.290 faster 0 3.037462e+06 3.037464e+06 1.939
12 irregular 2 28 128 69 2.500000e+00 0.326 slower 0 3.037465e+06 3.037469e+06 3.234
12 irregular 2 29 129 70 2.500000e+00 0.595 faster 1 3.037470e+06 3.037473e+06 3.153
12 irregular 2 30 130 50 1.500000e+00 0.409 faster 0 3.037474e+06 3.037476e+06 2.348
12 irregular 2 31 131 71 1.500000e+00 0.530 faster 1 3.037478e+06 3.037480e+06 2.105
12 irregular 2 32 132 50 3 0.360 slower 1 3.037481e+06 3.037485e+06 4.008
12 irregular 2 33 133 70 1 0.476 faster 1 3.037486e+06 3.037488e+06 1.780
12 irregular 2 34 134 69 1 0.590 faster 1 3.037489e+06 3.037491e+06 1.758
12 irregular 2 35 135 51 2.500000e+00 0.322 slower 1 3.037492e+06 3.037495e+06 3.562
12 irregular 2 36 136 68 2.500000e+00 0.142 faster 1 3.037496e+06 3.037499e+06 3.181
12 irregular 2 37 137 52 3 0.511 faster 0 3.037501e+06 3.037505e+06 4.321
12 irregular 2 38 138 69 2 0.467 faster 1 3.037506e+06 3.037509e+06 2.725
12 irregular 2 39 139 68 1 0.408 faster 1 3.037510e+06 3.037512e+06 2.262
12 irregular 2 40 140 52 1 0.315 faster 0 3.037513e+06 3.037515e+06 1.820
12 irregular 2 41 141 51 2.500000e+00 0.311 slower 1 3.037516e+06 3.037519e+06 3.192
12 irregular 2 42 142 52 1.500000e+00 0.538 faster 0 3.037520e+06 3.037523e+06 2.346
12 irregular 2 43 143 69 1 0.591 faster 1 3.037524e+06 3.037526e+06 1.881
12 irregular 2 44 144 51 3 0.517 slower 1 3.037527e+06 3.037531e+06 3.814
12 irregular 2 45 145 68 3 0.202 faster 1 3.037531e+06 3.037535e+06 3.976
12 irregular 2 46 146 52 1.500000e+00 0.506 faster 0 3.037537e+06 3.037539e+06 2.426
12 irregular 2 47 147 69 2 0.393 faster 1 3.037540e+06 3.037543e+06 2.991
12 irregular 2 48 148 68 3 0.282 faster 1 3.037544e+06 3.037548e+06 4.275
12 irregular 2 49 149 52 2 0.164 faster 0 3.037549e+06 3.037552e+06 3.064
12 irregular 2 50 150 51 2.500000e+00 0.230 faster 0 3.037553e+06 3.037557e+06 3.414
