subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
24 regular 1 1 1 70 2.500000e+00 0.596 faster 1 2.556249e+05 2.556280e+05 3.100
24 regular 1 2 2 70 2.500000e+00 0.230 slower 0 2.556289e+05 2.556323e+05 3.436
24 regular 1 3 3 72 2.500000e+00 0.560 faster 1 2.556335e+05 2.556367e+05 3.152
24 regular 1 4 4 50 2.500000e+00 0.507 slower 1 2.556379e+05 2.556409e+05 3.022
24 regular 1 5 5 70 2.500000e+00 0.112 faster 1 2.556421e+05 2.556455e+05 3.304
24 regular 1 6 6 52 2.500000e+00 0.190 faster 0 2.556463e+05 2.556499e+05 3.614
24 regular 1 7 7 50 2.500000e+00 0.198 slower 1 2.556507e+05 2.556543e+05 3.593
24 regular 1 8 8 70 2.500000e+00 0.100 none 2 2.556551e+05 2.556606e+05 5.499
24 regular 1 9 9 50 2.500000e+00 0.491 none 2 2.556618e+05 2.556673e+05 5.500
24 regular 1 10 10 50 2.500000e+00 0.317 slower 1 2.556682e+05 2.556714e+05 3.197
24 regular 1 11 11 68 2.500000e+00 0.428 faster 1 2.556725e+05 2.556763e+05 3.757
24 regular 1 12 12 68 2.500000e+00 0.385 faster 1 2.556773e+05 2.556808e+05 3.506
24 regular 1 13 13 53 2.500000e+00 0.161 slower 1 2.556816e+05 2.556849e+05 3.341
24 regular 1 14 14 53 2.500000e+00 0.450 faster 0 2.556860e+05 2.556892e+05 3.128
24 regular 1 15 15 52 2.500000e+00 0.435 slower 1 2.556902e+05 2.556933e+05 3.029
24 regular 1 16 16 53 2.500000e+00 0.357 faster 0 2.556946e+05 2.556977e+05 3.106
24 regular 1 17 17 68 2.500000e+00 0.561 faster 1 2.556991e+05 2.557027e+05 3.623
24 regular 1 18 18 52 2.500000e+00 0.420 slower 1 2.557038e+05 2.557067e+05 2.987
24 regular 1 19 19 67 2.500000e+00 0.102 faster 1 2.557075e+05 2.557105e+05 3.001
24 regular 1 20 20 67 2.500000e+00 0.485 faster 1 2.557116e+05 2.557150e+05 3.349
24 regular 1 21 21 54 2.500000e+00 0.491 slower 1 2.557167e+05 2.557199e+05 3.135
24 regular 1 22 22 54 2.500000e+00 0.511 slower 1 2.557251e+05 2.557281e+05 2.985
24 regular 1 23 23 65 2.500000e+00 0.463 faster 1 2.557292e+05 2.557326e+05 3.400
24 regular 1 24 24 65 2.500000e+00 0.301 slower 0 2.557397e+05 2.557428e+05 3.173
24 regular 1 25 25 66 2.500000e+00 0.254 faster 1 2.557437e+05 2.557470e+05 3.237
24 regular 1 26 26 55 2.500000e+00 0.194 slower 1 2.557478e+05 2.557512e+05 3.409
24 regular 1 27 27 55 2.500000e+00 0.282 slower 1 2.557526e+05 2.557563e+05 3.737
24 regular 1 28 28 56 2.500000e+00 0.153 faster 0 2.557603e+05 2.557637e+05 3.401
24 regular 1 29 29 55 2.500000e+00 0.377 slower 1 2.557664e+05 2.557698e+05 3.446
24 regular 1 30 30 65 2.500000e+00 0.266 slower 0 2.557708e+05 2.557744e+05 3.625
24 regular 1 31 31 54 2.500000e+00 0.213 faster 0 2.557753e+05 2.557785e+05 3.236
24 regular 1 32 32 53 2.500000e+00 0.390 faster 0 2.557795e+05 2.557830e+05 3.526
24 regular 1 33 33 52 2.500000e+00 0.363 slower 1 2.557840e+05 2.557882e+05 4.156
24 regular 1 34 34 53 2.500000e+00 0.426 slower 1 2.557893e+05 2.557927e+05 3.430
24 regular 1 35 35 53 2.500000e+00 0.110 faster 0 2.557935e+05 2.557968e+05 3.336
24 regular 1 36 36 52 2.500000e+00 0.221 faster 0 2.557981e+05 2.558036e+05 5.417
24 regular 1 37 37 69 2.500000e+00 0.528 faster 1 2.558047e+05 2.558079e+05 3.166
24 regular 1 38 38 68 2.500000e+00 0.549 faster 1 2.558091e+05 2.558124e+05 3.353
24 regular 1 39 39 68 2.500000e+00 0.378 faster 1 2.558139e+05 2.558170e+05 3.104
24 regular 1 40 40 67 2.500000e+00 0.335 slower 0 2.558180e+05 2.558211e+05 3.139
24 regular 1 41 41 52 2.500000e+00 0.172 faster 0 2.558219e+05 2.558252e+05 3.302
