subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
21 irregular 1 1 1 66 2 0.278 faster 1 3.707419e+06 3.707422e+06 2.701
21 irregular 1 2 2 54 1.500000e+00 0.408 faster 0 3.707423e+06 3.707426e+06 2.555
21 irregular 1 3 3 68 2.500000e+00 0.224 faster 1 3.707427e+06 3.707431e+06 3.589
21 irregular 1 4 4 54 3 0.345 slower 1 3.707432e+06 3.707436e+06 3.797
21 irregular 1 5 5 66 3 0.382 faster 1 3.707438e+06 3.707442e+06 4.554
21 irregular 1 6 6 64 1.500000e+00 0.306 slower 0 3.707443e+06 3.707446e+06 2.381
21 irregular 1 7 7 66 1.500000e+00 0.583 slower 0 3.707447e+06 3.707450e+06 2.942
21 irregular 1 8 8 68 1 0.386 slower 0 3.707451e+06 3.707454e+06 2.963
21 irregular 1 9 9 50 3 0.309 slower 1 3.707455e+06 3.707459e+06 4.009
21 irregular 1 10 10 50 1 0.497 slower 1 3.707461e+06 3.707463e+06 1.819
21 irregular 1 11 11 52 3 0.488 slower 1 3.707465e+06 3.707470e+06 5.270
21 irregular 1 12 12 68 2.500000e+00 0.463 faster 1 3.707472e+06 3.707476e+06 3.774
21 irregular 1 13 13 53 2.500000e+00 0.398 faster 0 3.707480e+06 3.707483e+06 3.269
21 irregular 1 14 14 52 3 0.294 slower 1 3.707487e+06 3.707491e+06 3.713
21 irregular 1 15 15 68 3 0.460 slower 0 3.707494e+06 3.707498e+06 3.944
21 irregular 1 16 16 69 2 0.597 faster 1 3.707499e+06 3.707502e+06 3.224
21 irregular 1 17 17 52 1 0.229 slower 1 3.707504e+06 3.707506e+06 1.938
21 irregular 1 18 18 52 2.500000e+00 0.257 faster 0 3.707507e+06 3.707511e+06 3.616
21 irregular 1 19 19 69 2.500000e+00 0.142 slower 0 3.707511e+06 3.707515e+06 3.522
21 irregular 1 20 20 70 3 0.246 faster 1 3.707516e+06 3.707520e+06 3.817
