subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
29 irregular 1 1 1 56 1.500000e+00 0.196 none 2 1.815580e+06 1.815585e+06 4.499
29 irregular 1 2 2 64 1.500000e+00 0.305 faster 1 1.815586e+06 1.815588e+06 2.529
29 irregular 1 3 3 64 2.500000e+00 0.318 faster 1 1.815589e+06 1.815593e+06 4.354
29 irregular 1 4 4 62 1.500000e+00 0.345 slower 0 1.815594e+06 1.815597e+06 2.149
29 irregular 1 5 5 56 2.500000e+00 0.419 slower 1 1.815598e+06 1.815601e+06 3.338
29 irregular 1 6 6 56 2 0.543 slower 1 1.815603e+06 1.815605e+06 2.723
29 irregular 1 7 7 62 2 0.393 slower 0 1.815606e+06 1.815609e+06 2.635
29 irregular 1 8 8 56 1.500000e+00 0.239 faster 0 1.815610e+06 1.815613e+06 3.008
29 irregular 1 9 9 66 1 0.562 slower 0 1.815614e+06 1.815617e+06 2.457
29 irregular 1 10 10 68 2.500000e+00 0.240 slower 0 1.815618e+06 1.815622e+06 4.520
29 irregular 1 11 11 70 2 0.561 faster 1 1.815624e+06 1.815627e+06 2.849
29 irregular 1 12 12 70 2 0.471 slower 0 1.815628e+06 1.815633e+06 4.243
29 irregular 1 13 13 72 2.500000e+00 0.227 slower 0 1.815633e+06 1.815637e+06 3.887
29 irregular 1 14 14 74 1.500000e+00 0.436 faster 1 1.815638e+06 1.815641e+06 2.638
29 irregular 1 15 15 48 3 0.357 slower 1 1.815642e+06 1.815646e+06 3.698
29 irregular 1 16 16 72 2 0.132 faster 1 1.815647e+06 1.815650e+06 3.307
29 irregular 1 17 17 49 1.500000e+00 0.429 slower 1 1.815651e+06 1.815654e+06 2.182
29 irregular 1 18 18 71 2.500000e+00 0.333 slower 0 1.815655e+06 1.815659e+06 4.164
29 irregular 1 19 19 48 3 0.292 slower 1 1.815660e+06 1.815664e+06 3.689
29 irregular 1 20 20 49 1.500000e+00 0.522 slower 1 1.815665e+06 1.815667e+06 2.381
29 irregular 1 21 21 71 1 0.586 faster 1 1.815668e+06 1.815670e+06 2.064
29 irregular 1 22 22 50 3 0.453 slower 1 1.815672e+06 1.815675e+06 3.723
29 irregular 1 23 23 50 3 0.253 slower 1 1.815677e+06 1.815681e+06 3.867
29 irregular 1 24 24 69 3 0.433 slower 0 1.815682e+06 1.815688e+06 5.798
29 irregular 1 25 25 50 1 0.430 slower 1 1.815689e+06 1.815691e+06 2.054
29 irregular 1 26 26 50 2.500000e+00 0.152 slower 1 1.815692e+06 1.815695e+06 3.379
29 irregular 1 27 27 69 3 0.147 faster 1 1.815696e+06 1.815700e+06 3.867
29 irregular 1 28 28 51 2 0.319 slower 1 1.815701e+06 1.815704e+06 3.059
29 irregular 1 29 29 52 2 0.364 slower 1 1.815705e+06 1.815709e+06 3.484
29 irregular 1 30 30 52 1.500000e+00 0.341 slower 1 1.815710e+06 1.815712e+06 2.290
29 irregular 1 31 31 53 1.500000e+00 0.281 slower 1 1.815713e+06 1.815715e+06 2.366
29 irregular 1 32 32 53 1 0.367 slower 1 1.815716e+06 1.815718e+06 1.950
29 irregular 1 33 33 54 1 0.370 slower 1 1.815719e+06 1.815721e+06 2.099
29 irregular 1 34 34 66 1.500000e+00 0.579 slower 0 1.815723e+06 1.815726e+06 2.996
29 irregular 1 35 35 53 3 0.178 slower 1 1.815727e+06 1.815731e+06 4.033
29 irregular 1 36 36 54 2 0.181 slower 1 1.815732e+06 1.815737e+06 4.385
29 irregular 1 37 37 66 3 0.420 faster 1 1.815738e+06 1.815742e+06 3.907
