subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
15 irregular 1 1 1 47 1 0.190 faster 0 3.115302e+06 3.115304e+06 2.046
15 irregular 1 2 2 45 3 0.566 slower 1 3.115305e+06 3.115309e+06 4.084
15 irregular 1 3 3 47 2.500000e+00 0.326 slower 1 3.115310e+06 3.115314e+06 3.343
15 irregular 1 4 4 73 1 0.202 faster 1 3.115318e+06 3.115320e+06 1.744
15 irregular 1 5 5 71 3 0.562 faster 1 3.115321e+06 3.115325e+06 4.300
15 irregular 1 6 6 71 2.500000e+00 0.539 faster 1 3.115327e+06 3.115330e+06 3.876
15 irregular 1 7 7 51 2 0.177 slower 1 3.115331e+06 3.115335e+06 3.338
15 irregular 1 8 8 51 1.500000e+00 0.561 slower 1 3.115336e+06 3.115338e+06 2.292
15 irregular 1 9 9 67 1.500000e+00 0.459 slower 0 3.115340e+06 3.115342e+06 2.570
15 irregular 1 10 10 69 1.500000e+00 0.291 faster 1 3.115344e+06 3.115346e+06 2.722
15 irregular 1 11 11 69 1 0.127 faster 1 3.115347e+06 3.115350e+06 2.488
15 irregular 1 12 12 67 2.500000e+00 0.541 faster 1 3.115351e+06 3.115355e+06 3.818
15 irregular 1 13 13 53 2.500000e+00 0.136 slower 1 3.115356e+06 3.115359e+06 3.397
15 irregular 1 14 14 65 1.500000e+00 0.597 slower 0 3.115361e+06 3.115363e+06 2.634
15 irregular 1 15 15 53 1.500000e+00 0.244 slower 1 3.115364e+06 3.115367e+06 2.478
15 irregular 1 16 16 67 1.500000e+00 0.353 slower 0 3.115368e+06 3.115370e+06 2.460
15 irregular 1 17 17 68 2 0.360 faster 1 3.115371e+06 3.115375e+06 3.725
15 irregular 1 18 18 67 2.500000e+00 0.284 slower 0 3.115376e+06 3.115380e+06 3.773
15 irregular 1 19 19 68 3 0.556 slower 0 3.115381e+06 3.115385e+06 4.134
15 irregular 1 20 20 69 2 0.473 slower 0 3.115386e+06 3.115389e+06 3.089
15 irregular 1 21 21 50 3 0.452 slower 1 3.115390e+06 3.115394e+06 3.761
15 irregular 1 22 22 70 1 0.209 faster 1 3.115395e+06 3.115397e+06 2.228
15 irregular 1 23 23 69 1 0.265 slower 0 3.115398e+06 3.115400e+06 1.820
15 irregular 1 24 24 70 2.500000e+00 0.561 faster 1 3.115402e+06 3.115405e+06 3.403
15 irregular 1 25 25 70 1.500000e+00 0.249 slower 0 3.115406e+06 3.115409e+06 2.396
15 irregular 1 26 26 49 1 0.202 slower 1 3.115409e+06 3.115411e+06 1.979
15 irregular 1 27 27 50 1.500000e+00 0.327 slower 1 3.115412e+06 3.115415e+06 2.641
15 irregular 1 28 28 50 3 0.181 slower 1 3.115416e+06 3.115420e+06 3.960
15 irregular 1 29 29 69 3 0.266 faster 1 3.115421e+06 3.115425e+06 4.272
15 irregular 1 30 30 69 3 0.464 slower 0 3.115427e+06 3.115430e+06 3.918
15 irregular 1 31 31 70 1.500000e+00 0.155 slower 0 3.115431e+06 3.115434e+06 2.522
15 irregular 1 32 32 49 2 0.408 slower 1 3.115435e+06 3.115438e+06 2.849
15 irregular 1 33 33 50 2 0.213 faster 0 3.115439e+06 3.115442e+06 3.715
15 irregular 1 34 34 71 1 0.444 faster 1 3.115443e+06 3.115446e+06 2.787
15 irregular 1 35 35 49 2 0.505 slower 1 3.115447e+06 3.115450e+06 2.837
15 irregular 1 36 36 70 2.500000e+00 0.234 faster 1 3.115451e+06 3.115455e+06 3.842
15 irregular 1 37 37 70 2 0.581 faster 1 3.115456e+06 3.115460e+06 3.573
15 irregular 1 38 38 51 1 0.153 slower 1 3.115461e+06 3.115463e+06 1.889
15 irregular 1 39 39 51 1.500000e+00 0.281 slower 1 3.115464e+06 3.115466e+06 2.269
